,BR:MCF7,BR:MDA_MB_231,BR:HS578T,BR:BT_549,BR:T47D,CNS:SF_268,CNS:SF_295,CNS:SF_539,CNS:SNB_19,CNS:SNB_75,CNS:U251,CO:COLO205,CO:HCC_2998,CO:HCT_116,CO:HCT_15,CO:HT29,CO:KM12,CO:SW_620,LE:CCRF_CEM,LE:HL_60,LE:K_562,LE:MOLT_4,LE:RPMI_8226,LE:SR,ME:LOXIMVI,ME:MALME_3M,ME:M14,ME:SK_MEL_2,ME:SK_MEL_28,ME:SK_MEL_5,ME:UACC_257,ME:UACC_62,ME:MDA_MB_435,ME:MDA_N,LC:A549,LC:EKVX,LC:HOP_62,LC:HOP_92,LC:NCI_H226,LC:NCI_H23,LC:NCI_H322M,LC:NCI_H460,LC:NCI_H522,OV:IGROV1,OV:OVCAR_3,OV:OVCAR_4,OV:OVCAR_5,OV:OVCAR_8,OV:SK_OV_3,OV:NCI_ADR_RES,PR:PC_3,PR:DU_145,RE:786_0,RE:A498,RE:ACHN,RE:CAKI_1,RE:RXF_393,RE:SN12C,RE:TK_10,RE:UO_31
BR:MCF7,1.0,-0.0913794301820261,-0.2074432637514831,-0.10258978723017,0.4017749492043067,-0.1495668957637328,-0.11676260478262215,-0.1455199086006589,-0.12730513364812499,-0.14503685217797904,-0.13988383180355507,0.1087014152066583,0.1437260257205618,0.12224136745366537,0.20494375346636554,0.11380253310840611,0.09590363361252964,0.0756912549351597,0.06453395823116813,0.04577478401364822,0.05443862247747943,0.07230095367669186,0.052903131070240694,-0.030433810599614766,-0.12093541441191215,-0.03788678863046597,-0.11635366204840326,-0.08377917651424734,-0.17869774599856583,-0.03688074769339665,-0.0875070050341887,-0.12961964919763885,-0.07515383433944217,-0.07803131619868588,0.03409840104866686,0.01055247652899064,-0.12204545105846584,-0.1165773967116718,-0.13710843788760937,0.1503795058533513,0.12025728223682774,0.03232284248940316,0.0899833948314665,-0.0003178245304698939,0.047343777619527655,0.06646652331845249,-0.015266857094982739,-0.056448845009539804,-0.057650772730918835,-0.046384856975449536,-0.033093437601845146,0.06485049228646253,-0.1506149276095916,-0.09211701498220973,-0.07703265443059033,-0.0974722193794364,-0.17603230824062852,-0.12086611133264875,-0.08324735778885371,-0.16101589744559475
BR:MDA_MB_231,-0.0913794301820261,1.0,0.14060276508027347,0.110173433307431,-0.08106468693115615,0.2188668720519377,0.04042325562966496,0.04541152456603151,0.13214046884468292,0.058397610487935785,-0.010752670990790015,-0.12296309256631906,-0.12227487081770579,-0.06208205212283883,-0.043356105412107375,-0.048605236166242724,-0.12309390284764811,-0.10405064789955284,-0.034068421876615226,-0.06307867896312369,-0.04352201915612909,-0.061558764309839434,-0.12455989749723173,-0.018807163363826873,0.02179161386397055,-0.09400963156036965,-0.0785731013701088,-0.03248363996568186,-0.1258212372036051,-0.15332892682128288,-0.16978412321745995,-0.18575066849482855,-0.04487549982717189,-0.04594426905466689,-0.07708470137697479,-0.07316228513197197,0.18624355549933058,0.2584013674775301,0.13664821858469992,-0.09206798095260187,-0.06743256606383637,-0.0867668752705358,0.008660050785749938,-0.09146692530106434,-0.0907011979047839,-0.004956017144877316,0.028690561132191043,0.12898947837144378,0.05023520953259422,0.004837370490898413,0.061671974965840023,0.08264884549943749,0.10832114030144478,-0.015405377151194754,-0.032327416968068415,-0.009449628255712902,0.09903692972970884,0.15134608662316032,0.05311771648780971,0.04976526124062238
BR:HS578T,-0.2074432637514831,0.14060276508027347,1.0,0.2945365891135727,-0.13057633667440238,0.17711113554657543,0.17958552391245672,0.3686512303803045,0.11679578325993806,0.38630598001527916,0.11669390982972119,-0.20865543665941697,-0.22293775768025187,-0.1965578989611746,-0.27593454946983104,-0.20758640558472785,-0.15463628381788988,-0.23315224030217654,-0.1265330437682448,-0.16967815644034825,-0.12192041139252842,-0.16614024969603358,-0.12473362933190794,-0.16876511651157486,-0.0513376918005037,-0.061750230819563115,-0.013446754506379822,-0.08661404975558906,0.056068204765748204,-0.057561861140812326,-0.06567553124186051,0.04395289901681596,-0.05893120995668765,-0.035462708925860016,-0.04081611135325343,0.030824996982166643,0.10045075665627422,0.1708456069480873,0.20537284798164931,-0.12418560654881548,-0.07745877072565005,-0.13326676218479788,-0.04489735087568925,-0.007568384831050645,-0.022547837524479204,0.08864050974858312,-0.027390487788101416,0.04469197547193813,0.05063120524391585,0.08044625415762625,0.025308092178387104,-0.07083224252760559,0.07897692779498276,0.08578680627630537,0.019496182631029018,0.033539418584755364,0.35102498133189325,0.0609802367407177,-0.07142744444231477,0.16477651962556888
BR:BT_549,-0.10258978723017,0.110173433307431,0.2945365891135727,1.0,-0.07808567914211259,0.18112640972263278,0.06814805277803475,0.23165895216358603,0.08021458270139986,0.2509738095722143,0.109602186207435,-0.16142186718629595,-0.15467868316835212,-0.13591948206768223,-0.12473111033893622,-0.14339638761990747,-0.12233170279219593,-0.12957836471007908,-0.034641333282650816,-0.06241193311416938,-0.04921068019356975,-0.04937918859883489,-0.08663704421426406,-0.042262332366320585,0.022863529028971746,-0.16130161131889004,-0.057897751485192224,-0.0913990027371326,-0.11980710340957501,-0.1073978731368559,-0.13956647391302793,-0.0593623045369436,-0.05650346277080223,-0.0507933868502523,-0.09092921108740401,-0.030179515903417074,0.03739072124688512,0.060285446864875594,0.08854090304279602,0.009702777564239772,-0.13109362288836024,-0.09091241358436347,-0.017786108633608574,0.006790298247883416,0.028485282361022175,0.04830107548429241,-0.12108082314170449,0.15355953901535502,0.04087901356187921,0.0696550847853748,0.044527803701340164,-0.006466226795279422,0.08993839125482124,0.028824278936533644,-0.10381913457224716,0.04531369356765305,0.17518775177025273,0.06033217477613884,0.014994206406276467,0.02060254656040918
BR:T47D,0.4017749492043067,-0.08106468693115615,-0.13057633667440238,-0.07808567914211259,1.0,-0.10524142414462814,-0.08888939467871654,-0.05431984231481505,-0.12088011523465653,-0.022403394867527782,-0.06520628455066246,0.11757848600604222,0.0929098148799279,0.029176081109949695,0.11877338164881053,0.10922930933607408,0.062002137604895174,0.04012962580530903,-0.05022258810084486,-0.11154270427417244,-0.02995731347806081,-0.05405717546905066,-0.006967570207996141,-0.10173116502441673,-0.12847528382679002,-0.015186825779409156,-0.10519395492021814,-0.08460453970981306,-0.1572719079006526,-0.06403640780486791,-0.06504130027445143,-0.08795208446753366,-0.09716076595614412,-0.089739698532033,-0.017229061415653574,0.08979190514272334,-0.09536034618649444,-0.041235181262443285,-0.031060207765807583,0.04748108762352322,0.22530921449810062,-0.021424177478691638,0.06484405745903082,-0.034555723512887764,0.047696156828193725,0.0643465220310174,0.004558444048547011,-0.07895728343697077,-0.0018535783958068305,-0.021529896446790334,-0.0037641408161653784,0.09156185419804039,-0.14797590444127556,-0.08386103864771965,-0.06327865536671684,-0.03263479370797799,-0.15419143998398663,-0.06834516745049048,-0.07199376374325786,-0.06404737558799359
CNS:SF_268,-0.1495668957637328,0.2188668720519377,0.17711113554657543,0.18112640972263278,-0.10524142414462814,1.0,0.17748724388168546,0.16216639637383082,0.2618466288992354,0.17767113875349258,0.11247865556664624,-0.20797409236702552,-0.20736870797093954,-0.08281761359446269,-0.011949703190625856,-0.1689313858961296,-0.1797374758999536,-0.09885687429888954,-0.015769403718195473,-0.10733100010148394,-0.15302606305102448,-0.01342792344266222,-0.17037548153234897,0.02261107975522862,0.11375398572401664,-0.04869298408228718,0.0349894450070608,0.02065293391599449,-0.021984001505966765,-0.05388724271159681,0.017822553133271236,-0.05751019074893048,0.01619248371645361,-0.02668841067735848,-0.1404800720738622,-0.03286347228453081,0.13609977703338927,-0.030742946576532117,0.11991504077918265,-0.0096813608400361,-0.10250255489186345,-0.10646657873033456,0.04962334251947937,-0.15412751719802129,-0.08294218024310937,-0.10187538848447737,-0.07520289994399969,0.1366284388411332,0.08916949800971284,-0.0360829234167175,0.07818148396115263,-0.049664615315752426,0.07177579857073585,-0.12464847737087788,-0.10243225927475405,-0.06098924009988621,-0.022910819642610877,0.14690502076506995,-0.04138736212941501,0.03741987865799226
CNS:SF_295,-0.11676260478262215,0.04042325562966496,0.17958552391245672,0.06814805277803475,-0.08888939467871654,0.17748724388168546,1.0,0.22641608627609888,0.2480567033629049,0.24618463691526357,0.21610123143009483,-0.0076062639080000695,-0.05988075330176655,-0.07622342544663661,-0.11247202030126054,-0.14029379220986074,-0.09771147138567549,-0.16873047388870913,-0.11106479087956048,-0.09460080817912664,-0.04595940936555634,-0.10050519440705523,-0.05904730865116745,0.010112367137345674,0.1722437464252393,0.004573893596469902,0.00983153747340739,0.03237858296566292,-0.0036913446260728724,-0.07599358567862899,-0.06562688888890042,0.09836143121027617,0.029293158495796986,-0.001396086496542734,-0.0335157461022751,0.01011628376069478,0.14917481484534234,0.050518498949370334,0.08819550484413563,-0.043818739392987104,-0.12482615799750194,-0.033323439120858604,-0.09224667699432526,-0.18374675996564838,-0.08550283687256152,-0.12445658139379127,-0.1348767100627089,-0.12828478154078743,-0.055174117214791575,-0.14229846164656534,0.10721557072739202,-0.13676581658310025,0.056122151896016256,0.1729058827387648,-0.07975791906497763,0.06945176875512628,-0.05304981388379522,0.008816628149843039,-0.1241416079988235,-0.050764973673131396
CNS:SF_539,-0.1455199086006589,0.04541152456603151,0.3686512303803045,0.23165895216358603,-0.05431984231481505,0.16216639637383082,0.22641608627609888,1.0,0.17127801791365224,0.41440153684078734,0.1847196499319125,-0.14865671386247425,-0.17049892453732787,-0.14174919043192255,-0.1499118586330992,-0.11551979091160201,-0.1842701132469836,-0.1834003062529423,-0.11001484316976935,-0.14817975985350618,-0.1936672066187705,-0.14057974616412122,-0.16919707778361195,-0.07646538947086753,0.04098001775687705,0.042753382716707575,0.05007677620771145,0.012139164930384897,0.04696361298110953,-0.07987922626422457,-0.00828885868167984,0.032879588660442924,-0.034257844300701355,-0.058406848025540664,-0.13775787619449134,0.00685323278441936,0.11066142042355066,0.11728379300932555,0.17187961200891974,-0.020967065310833356,-0.07560506329210377,-0.10530966265926851,-0.030209330642057088,-0.12619115974581568,-0.012808287713577848,0.009734687680086552,-0.031698127006401136,-0.0015480321991053804,0.044506003607166736,-0.04917568416665776,-0.014813875773187622,-0.08768432417822394,0.10366677039941981,0.13643565994944845,-0.0443851411417178,0.06686677906880606,0.27209076016163136,0.003352181756100785,-0.005566201015245306,0.04910452078651955
CNS:SNB_19,-0.12730513364812499,0.13214046884468292,0.11679578325993806,0.08021458270139986,-0.12088011523465653,0.2618466288992354,0.2480567033629049,0.17127801791365224,1.0,0.26756878586234567,0.5338663250667206,-0.13173207632670994,-0.17041540184533419,-0.10763172276196689,-0.07965440214670143,-0.14277786463321396,-0.1157305713948317,-0.09265306209701663,-0.023818668077480457,-0.09804182681801137,-0.10467829700182835,-0.01468511449212686,-0.11503056964440811,-0.048677679466288995,-0.0720606582323532,-0.06804784958444828,0.007736258018897856,-0.011839386698905935,-0.036813792703369055,-0.09089655340222869,-0.061911647641314155,-0.03320729297863496,-0.02818008397918959,-0.054087268566552396,-0.04650847110162401,-0.017302862069963162,0.12227333550821391,0.06774386091972248,0.04125140067480458,-0.05057030710892909,-0.05492940994448513,-0.0010313510050023297,0.033976149036529235,-0.05609217541390388,0.026837653871212,-0.013872270770101568,-0.09566762254078046,-0.008155979188731208,0.04677464426571459,-0.11202155405656256,-0.005927383025041507,-0.1022910001412662,0.06415724009624334,0.025095118357757056,-0.1283060496361188,-0.06278633616554692,0.013112121996535843,0.07391397526243387,-0.08690597173057296,-0.04588067740397333
CNS:SNB_75,-0.14503685217797904,0.058397610487935785,0.38630598001527916,0.2509738095722143,-0.022403394867527782,0.17767113875349258,0.24618463691526357,0.41440153684078734,0.26756878586234567,1.0,0.22058972088724485,-0.2015631678266522,-0.21430338007310246,-0.20979904576744335,-0.18083745606101875,-0.17829399737088564,-0.1892520162521635,-0.169923371857298,-0.07944399564180463,-0.20206277522144703,-0.2065740730632395,-0.11481272225142528,-0.14922202992268555,-0.13361289557785178,-0.13618593000042184,0.09421555053752123,0.14192407805934273,0.007504670982729421,0.0766732074749725,-0.09387600795446452,0.0019144670165296004,0.0697234860002102,0.0037807761616261088,-0.013419351014193578,-0.1394298909869964,0.060373475936752165,-0.02125350086086947,0.16933277800719118,0.10803230735079607,-0.06401871103578435,-0.06984957796713433,-0.057217946771056336,-6.766077059985674e-05,-0.09167614765111697,-0.05187578383183367,0.027575746111818403,-0.02081726651959838,-0.09309529831181357,0.05953777663721451,-0.08540289448946886,0.012078207937657282,-0.09268297341920287,-0.008804086662757714,0.10740917263916223,-0.07014600412269813,-0.02650052138453169,0.2530919619146202,-0.07492093931141829,-0.09713842862561434,0.02358307271546413
