Unnamed: 0,variance
PDGFRB,1.7310958
FAM72A,1.7309412
ILDR2,1.6316813
ANXA8L2,1.61078
LRRN4,1.6020068
HIST1H4E,1.6015939
LOC642236,1.595512
LRRC17,1.5940945
SOX18,1.5915949
POU3F4,1.5870597
VCAM1,1.5835475
CDK15,1.5821649
DIRC1,1.5800899
OR51E1,1.5764046
RLN3,1.5731533
ANHX,1.5638611
HAVCR1,1.5525955
INSL4,1.5381376
GATSL1,1.5367495
PIPOX,1.5294445
GFAP,1.5285176
CPLX2,1.5237845
LOC390705,1.5199894
NRK,1.518339
PF4V1,1.5179341
PADI3,1.5161917
HSPB7,1.5156975
SLC1A7,1.5136878
LOC100287541,1.5136489
TNFRSF9,1.510347
IGKV2D-30,1.5098673
UBE2SP1,1.5094521
SEC14L6,1.5090283
MMP2,1.5063262
CXCL5,1.5053765
IFNA21,1.5048938
GABRQ,1.5040296
COL1A1,1.5007875
PNMA6C,1.4887822
AMIGO2,1.4882636
SNORA39,1.4847815
IL11,1.4845067
FOXS1,1.4841671
MYLKP1,1.4836049
MUC5AC,1.4825138
LOC553939,1.4805936
MIF,1.4793689
TRPA1,1.4781861
OR5L2,1.4781818
CLDN16,1.4774475
FOXD4,1.4759289
TMEM89,1.4745785
IGKV2D-29,1.4724861
LOC100287387,1.472315
HIST2H2AC,1.4692028
FLNC,1.468468
RCN3,1.4662029
TRBV5-1,1.4645213
SNHG17,1.4642712
HSD11B1,1.4642098
H3F3AP1,1.4623528
FGB,1.4613662
CLEC4E,1.461174
TNFAIP2,1.4610398
HCG4P7,1.4602301
DKFZP434A062,1.4582007
MAEL,1.4578874
POU5F1P3,1.4572184
HNF1B,1.4572011
HCG26,1.4520522
FSIP1,1.4516329
KCNE1L,1.4515834
RSPH10B2,1.4501387
LOC339186,1.4498504
LOC641367,1.4490495
FLG,1.4482915
LINC00905,1.4479259
HSPD1P2,1.4460832
KRT81,1.4446738
PCDH10,1.44353
COL1A2,1.442749
COL3A1,1.442315
PABPC1L2B,1.4411174
CSF1,1.4406565
OR6K2,1.4396718
GJA1,1.4390638
GPR116,1.4384096
MLLT11,1.4373374
LOC554207,1.4372592
TNFSF9,1.4352187
LOC441454,1.4321436
OR9G1,1.4316102
KCNJ16,1.4311652
SYTL5,1.4304256
KLHL4,1.4293942
ZNF660,1.4283081
ACAN,1.4276314
FOXG1,1.4271729
MMP19,1.4271365
PLAU,1.4255869
CXCL14,1.424731
SYMPK,1.4230106
RPS24P10,1.4223832
COX19,1.4217519
PCDH20,1.4216716
GOLGA6L5,1.4208391
PFN3,1.4208016
HRCT1,1.4206439
WISP1,1.4205985
SPP1,1.42041
DBNDD2,1.4202045
ZCCHC5,1.4199201
SNORD114-15,1.4197708
PDZK1IP1,1.4192396
DCAF12L2,1.4190688
RPL36AP42,1.4185684
MAGED4B,1.416657
EBP,1.4159908
EREG,1.4146695
IGFN1,1.4144101
