,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
"('Ifosfamide', 'Chlorambucil')",-277.5959386,-266.7099536,-245.8124887,-240.2538185,-263.3106708,-297.2294815,-184.1573226,-230.5636001,-297.5408344,-332.6724322,-260.758058,-284.7934489,-279.4581004,-212.4677193,-261.076818,-302.043086,-374.4975085,-266.0339808,-242.7337951,-264.4799469,-382.8575822,-261.0778095,-297.6945715,-254.8830171,-247.5645573,-239.2478102,-296.0457762,-240.2191088,-115.375498,-228.4207917,-221.7633335,-299.8776033,-237.8935434,-253.1458887,-256.1251374,-275.5262389,-321.1888321,-293.8864666,-268.1816131,-256.4344395,-213.2937865,-256.9314759,-264.086168,-239.1194123,-250.8280682,-292.5182128,-279.9341488,-247.4855109,-326.8313884,-272.4842019,-289.7879644,-260.2696983,-139.5434977,-265.8636581,-294.6652166,-303.7205647,-257.8173185,-288.4448356,-284.9726064,-271.3279144
"('Amifostine', 'Ifosfamide')",-323.37016,-310.8129067,-286.64331,-281.0288467,-339.6445393,-313.1495387,-304.128724,-327.093132,-248.15948,-346.6313827,-345.159994,-270.572884,-349.724844,-287.317688,-310.4173967,-347.6970107,-234.6038933,-304.0452,-299.9601507,-165.1762913,-312.9913387,-301.9930667,-282.1162653,-319.7875,-257.831686,-279.8211867,-286.3085707,-306.5143333,-305.7982247,-341.514596,-361.5395267,-271.498744,-293.22278,-330.5967627,-268.884496,-351.344222,-345.4616067,-262.8256813,-343.3688667,-288.1598867,-340.345064,-250.85282,-288.0961827,-314.9472653,-277.312092,-289.7826187,-291.26576,-258.869074,-247.3586627,-302.704464,-293.8332507,-265.48471,-246.826504,-299.585192,-256.336664,-251.5058333,-295.3142733,-298.5540933,-266.8101173,-285.4645133
"('Amifostine', 'Chlorambucil')",-176.687829,-259.9770251,-267.9809799,-209.6133777,-277.0793693,-236.9402284,-154.1190819,-249.9362979,-302.2370089,-317.5888097,-226.9716515,-174.1523942,-290.2308251,-174.3821765,-234.4818427,-233.0428278,-283.3191212,-250.130275,-191.471002,-274.4516379,-320.5378996,-280.3394377,-244.6414048,-232.7611638,-198.458765,-196.7706362,-288.6920866,-254.7673885,-144.1929718,-171.7506477,-304.7113331,-326.2871159,-260.4465608,-227.7931828,-253.8498733,-201.5745127,-323.9680239,-300.7473263,-262.5462434,-300.247286,-5.152709467,-258.4637281,-234.0287047,-276.5747777,-256.3773768,-272.7704708,-253.5637758,-272.036713,-253.3884641,-217.0601607,-165.0122322,-346.3378992,-85.17372238,-222.5055915,-255.8208797,-303.2902223,-277.086185,-294.6656026,-240.9220005,-316.2739065
"('Chlorambucil', 'Exemestane')",-98.88155925,-182.8972839,-179.0085714,-177.1759819,-183.034451,-99.38217574,-130.5570096,-132.3778066,-203.9786043,-146.013498,-176.0633197,-179.2926239,-141.9212308,-142.9056226,-118.9053121,-157.6744569,-139.3702511,-484.7872096,-95.61681835,-164.3632577,-201.9787388,-130.6838214,-163.491743,-182.4166635,-185.6431915,-141.6437596,-206.3616436,-84.86899685,-129.7580699,-193.7598625,-178.4671827,-197.8874971,-172.4344824,-116.2598198,-162.0526707,-119.9853033,-192.521848,-160.2663095,-165.4519897,-139.2819107,-98.38107296,-132.4040574,-105.247518,-177.0152096,-122.2625052,-128.8902263,-168.1081893,-106.4079505,-153.3644221,-155.9701255,-134.0451093,-207.2905076,-79.60962395,-178.6263408,-203.8483459,-141.5242834,-148.563364,-198.338302,-169.850229,-201.756242
"('Hydroxyurea', 'Chlorambucil')",-217.2907563,-269.9752737,-228.5355206,-136.2775902,-220.7878287,-219.3196934,-101.9109091,-175.1967502,-266.1993491,-347.6946001,-264.2999159,-278.1430739,-257.5822016,-132.7247882,-230.5899262,-266.926121,-275.3104638,-244.498281,-229.5482642,-233.913376,-395.9273232,-250.7134007,-262.695016,-276.265714,-255.6449715,-237.5369507,-286.6651606,-204.4913321,-106.3289888,-308.691286,-233.0743821,-364.2208228,-205.6922051,-238.1420769,-276.5809009,-288.8985139,-291.164024,-267.4258064,-255.3016199,-294.6007839,-13.20272067,-287.0393106,-214.6258502,-285.3531009,-223.669257,-297.2094165,-278.2848836,-181.505729,-307.2951352,-248.845047,-246.6566471,-287.7000277,-121.7870544,-230.003445,-236.8034581,-295.035088,-236.0217086,-291.8624606,-271.7025648,-287.761377
"('Hydroxyurea', 'Exemestane')",-189.8541585,-186.3108853,-214.0382462,-138.5517906,-139.5270323,-194.7705546,-144.2446263,-120.3601487,-187.7157309,-201.4568692,-181.1284243,-186.7024776,-189.5224014,-101.6625326,-186.5117162,-238.676043,-187.8472642,-206.2793536,-218.3032625,-201.122578,-260.9371295,-215.4134918,-205.6382829,-172.4360574,-219.7045513,-166.4391027,-192.5438579,-188.9939295,-199.366489,-224.2517528,-210.3973949,-246.6843265,-163.9931549,-163.9049931,-127.6703768,-193.7183444,-205.9968679,-214.0314459,-196.4603827,-192.1157921,-34.590175,-179.0772615,-192.0587622,-239.3548989,-213.0259102,-185.637638,-188.2163941,-133.6553856,-240.8229545,-207.4544506,-190.9382288,-218.8740138,-201.0100897,-165.7154888,-183.7541123,-201.942429,-213.7167995,-204.4715328,-187.9996246,-188.8979409
"('Estramustine phosphate sodium', 'Ifosfamide')",-159.94115,-156.500436,-287.0734573,-231.228284,-235.645032,-202.8919533,-277.220984,-336.068,-257.96411,-348.1993333,-66.516864,-249.943786,-304.7696,-296.589704,-380.2711193,-5.430544,-283.0642533,-286.8347987,-267.98114,-339.1081973,-307.0395107,-310.492544,-291.5217233,-296.24726,-295.9871913,-284.5542587,-162.4835967,-240.7047627,-291.557272,-55.38798333,-191.482608,-268.3023,-269.161484,-271.7566067,-269.9677147,-159.8456213,-268.6519767,-259.981444,-275.2201853,-227.996992,-232.42228,-189.7525613,-224.627816,-184.637048,-99.958752,-130.936844,-274.034114,-318.1516533,-280.94625,-264.533772,-261.51988,-162.3406667,-173.0827013,-315.1860547,-284.3326133,-259.3315,-256.9477947,-283.4516267,-264.532848,-250.68001
"('Estramustine phosphate sodium', 'Amifostine')",-275.07405,-325.89,-294.7714187,-252.629978,-287.399624,-237.67323,-250.1127953,-270.708,-325.86346,-297.4166027,-232.888138,-272.107156,-243.771378,-245.894456,-172.778974,-238.0996,-273.4449933,-287.1432227,-284.0783933,-283.6920293,-389.4951507,-374.711038,-216.63897,-300.2396,-317.7985233,-310.8900933,-270.76959,-285.45896,-285.13473,-362.722048,-275.738128,-282.178744,-295.806182,-296.04909,-292.2742087,-232.41336,-317.73309,-271.041708,-266.6192493,-245.826,-247.9700507,-329.154644,-215.286002,-211.7072,-464.5723707,-167.586024,-304.897248,-314.680936,-258.473766,-321.304516,-245.124328,-268.159008,-196.9638987,-288.9929693,-239.9106933,-251.7653,-300.92788,-337.5548933,-270.5517707,-318.12389
"('Estramustine phosphate sodium', 'Chlorambucil')",-242.232299,-280.2835567,-250.73731,-252.6785811,-269.3728106,-205.9762444,-223.7027458,-168.2501792,-334.4438514,-351.1552663,-291.107515,-325.7192211,-266.5697089,-284.8361289,-262.6905695,-300.8489852,-331.07562,-293.8069526,-281.0588017,-277.3390534,-349.979444,-266.1173301,-222.8722627,-266.8500427,-286.5667677,-242.136417,-294.5500525,-287.1263738,-231.6596236,-263.8743569,-290.9060028,-310.2234308,-290.5515659,-243.4611467,-287.5698359,-282.6903327,-341.6119337,-278.5214564,-290.1308493,-304.8738392,-284.5045166,-259.7791807,-269.2357867,-234.3038542,-214.9048253,-335.770128,-305.5873155,-234.0554733,-334.1513614,-266.2225586,-231.9694466,-274.9632698,-203.573012,-278.6915833,-264.4198344,-287.0737486,-300.5850769,-306.8756091,-309.8073809,-285.0478682
"('Estramustine phosphate sodium', 'Exemestane')",-519.6869599,-476.4804636,-393.9040229,-450.3554692,-525.8344459,-444.1298985,-638.6524119,-434.7031944,-444.2098019,-483.6187873,-561.465063,-409.3923944,-422.015687,-583.7443191,-435.2013112,-502.3822838,-530.2463952,-360.7024662,-418.5032364,-433.5192279,-430.9487514,-427.2593556,-415.3819064,-555.4275326,-495.4946633,-502.9568872,-402.7162759,-587.3962006,-520.5818267,-391.6464975,-446.7769938,-367.3479526,-427.008096,-564.979058,-471.7641394,-582.7788309,-438.3262455,-428.7835499,-473.2621346,-392.9684752,-524.4970816,-592.8491576,-447.9190385,-452.1966115,-607.7957076,-517.817416,-507.4087543,-467.2537085,-391.1858476,-433.0399563,-371.3453979,-365.8469173,-537.491304,-443.509169,-520.125236,-453.2330827,-506.8762691,-393.5068875,-408.7107198,-439.6493993
