,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
MT-CO2,138.6654,132.08037,88.66534,129.02676,122.215034,130.08026,147.93121,150.27495,88.67056,121.10376,154.70644,161.34787,131.60243,137.8216,109.78226,144.44167,139.1743,154.71733,150.8966,90.21443,102.652504,179.9843,79.063576,139.43822,136.33867,178.67375,103.77674,138.31966,132.70119,159.49721,139.79446,134.1071,106.90909,116.006,74.758606
FTL,33.50797,7.071132,15.773384,11.231035,26.778683,4.0130424,3.8101833,8.348491,19.012959,12.412223,19.124077,2.2574012,3.1517427,56.16346,51.150227,14.347689,68.40372,3.0115824,60.303936,7.8928514,125.08322,10.038143,45.42778,38.770267,3.5961645,34.43507,34.991974,6.396748,20.167116,0.791694,21.789629,3.1672418,4.1849937,19.85256,30.605114
MT-ND2,46.01418,47.875824,34.807766,88.209564,53.57022,55.080532,39.533794,28.851393,78.04371,30.601273,28.144247,26.651316,33.637253,36.051655,37.752712,46.982567,36.323204,115.44683,41.260876,46.164265,44.378426,46.68505,41.703953,38.849804,41.07158,25.188253,52.72956,37.203083,53.635742,54.151505,71.73641,47.12401,30.0109,29.537886,20.045937
MT-RNR2,29.363178,43.444,17.684273,13.120605,43.29156,53.964428,57.979183,57.678417,79.85245,22.38678,34.236084,30.66448,63.021465,45.804565,20.732424,27.011433,73.39839,34.660088,47.629204,41.904987,29.008238,30.069798,12.28904,23.45208,33.913666,57.014282,33.238365,59.669582,55.456463,15.444898,21.51329,28.767656,55.377277,14.408346,59.660408
EEF1A1P5,28.581238,41.35151,54.772686,23.942984,35.949894,30.014765,9.664021,37.236958,44.284985,29.743744,40.788986,22.682636,50.204304,38.46526,62.613773,15.176592,25.612835,19.229753,28.816595,85.3641,15.405623,13.703177,57.95173,35.605072,30.494648,33.773712,52.704514,47.06671,24.994398,16.572939,18.826252,51.085117,35.221874,19.798355,21.329021
RPS18,32.00622,20.272718,30.988544,11.706711,17.530739,21.307968,8.641458,28.410555,22.763283,31.143658,26.69102,19.6887,26.898901,12.366317,17.69819,11.050735,13.09903,9.350728,14.959587,17.156689,9.874273,10.481843,58.667255,22.953163,27.119026,5.9487414,15.998391,24.615368,9.835712,15.344304,22.145872,40.09311,27.629438,66.75579,60.67515
RPL19,11.882211,8.555706,16.23847,8.034883,3.9328947,8.094656,91.658264,9.034012,9.4359,13.668193,8.75341,4.569644,10.161598,4.675202,12.304134,6.4447646,9.053809,4.190114,10.316121,12.319901,7.140676,2.8110774,12.810189,7.520094,10.318732,4.0691614,8.350065,10.532518,6.211339,7.1416106,11.881271,13.66901,11.346614,15.538572,17.258617
MT-ND1,25.335886,63.18606,13.186865,70.16504,48.372025,56.22474,30.755562,14.621216,33.497093,17.688469,21.607313,17.357487,26.355429,25.263075,18.608341,21.700472,22.860939,41.919144,37.65855,27.915436,44.63354,24.120972,18.857765,17.251152,28.346386,16.760557,34.17102,29.394226,36.645073,31.251616,12.903291,54.574753,21.058722,26.663166,23.53038
TMSB10,10.723496,3.2182355,19.931358,29.606804,22.952103,2.8751698,4.8086796,27.36313,15.982358,18.591127,31.274572,15.791848,26.535872,17.48275,45.268604,21.599348,17.94301,14.353174,21.808372,6.485139,37.96894,15.712374,18.78746,48.63764,21.736193,17.28338,53.85905,22.565594,13.159816,3.825876,15.239555,3.291676,20.658228,60.556065,19.05663
MT-CO1,99.73436,114.52329,82.98639,89.74685,116.565186,122.392296,101.97807,95.71721,89.54509,97.35202,94.75396,110.270195,116.87476,110.67784,107.977745,124.34099,113.07818,74.43161,101.037895,102.58769,94.91668,102.053024,79.58005,88.446335,118.45999,105.61378,86.45259,97.053734,126.22175,97.67009,97.74167,102.98312,99.839554,67.92604,87.22613
MMP1,19.18655,-0.054570265,-0.09302085,-0.06042641,-0.07109801,-0.056080896,0.021825172,78.59091,-0.09700193,0.05258332,-0.0741916,-0.06613269,-0.058616545,0.10217496,0.6651555,-0.07271815,-0.056774598,-0.017558185,-0.020111555,-0.10050324,0.2548567,-0.04400451,-0.049238212,0.5563722,0.48630828,-0.048004396,0.08615626,-0.08146821,-0.026439648,-0.060133085,-0.06712492,-0.07346147,-0.081527136,-0.09252838,-0.115157336
GAPDH,38.6781,15.242069,56.99577,22.423237,49.107162,13.597318,6.9546685,23.801773,27.586554,47.991932,15.027626,14.180276,16.419102,30.906263,29.575241,37.54756,20.2942,21.06885,26.274353,26.59884,11.471502,10.7722435,11.111409,19.748516,38.00815,15.051837,17.413155,21.967745,14.122098,4.7749157,46.736294,13.656697,33.325558,34.665073,28.385798
FTH1,7.8458853,5.4197927,6.126045,5.9795904,27.424965,1.2095348,4.617157,1.725764,8.337105,6.503625,27.50729,6.164374,8.035139,31.747824,7.6843934,27.624928,16.127472,3.3727925,10.810099,12.910811,16.233038,9.771005,2.583972,20.971428,16.838535,22.570211,67.8528,16.709974,9.415542,2.6257696,4.9149942,3.4700968,8.672296,17.520159,13.399796
MT-CYB,45.05611,48.638836,29.272247,44.559986,39.265453,27.347658,59.026844,24.505568,32.67299,38.03518,37.871956,38.137386,23.24372,38.801094,33.766224,33.738285,29.365297,50.599995,26.679817,25.629456,38.0434,61.996185,28.371742,40.694504,27.112886,18.98035,29.44453,34.523144,23.694857,66.28725,33.661415,55.85721,17.635572,25.9023,21.764149
MT-ND3,24.436169,24.798418,28.007452,71.307365,21.335768,29.382671,28.877157,22.458992,27.481194,24.819553,23.816591,22.267128,20.37463,27.13234,20.248621,19.779854,28.815262,43.635914,28.321472,22.582933,38.31064,28.425467,27.25478,24.065737,16.20501,18.520308,23.683176,21.113333,24.3348,65.25193,28.336449,27.06669,31.64062,29.982914,25.046366
S100A6,7.9466057,-0.05801344,26.914007,10.645421,20.107347,-0.030491691,3.5998347,3.7761817,7.401055,17.700783,18.784134,0.18946591,8.689184,10.060986,2.7820013,8.562336,12.101403,3.9304988,8.195779,4.2951865,0.36826706,1.1002645,11.935073,29.242481,12.421831,22.928036,44.988487,9.606776,7.417226,2.366049,16.15752,-0.05666891,6.2876854,8.482925,-0.09849895
AC107016.2,0.8450597,-0.04263744,1.9276125,1.4107312,9.261611,0.7068719,9.411209,2.295194,11.362099,0.1550145,24.859386,23.454302,9.400663,1.0514721,6.9555783,20.612915,4.8450003,8.715928,4.1433325,2.9519727,7.3043976,4.441698,0.56164646,0.32776812,-0.017281167,0.8373184,1.7322421,21.026705,24.205452,12.053473,0.38623333,1.295972,12.640766,39.051994,1.7518845
RP5-940J5.9,25.082838,9.12704,32.89019,14.088595,30.33135,9.11102,4.816227,15.812461,15.639083,33.614704,9.158063,10.252334,10.891237,22.521915,20.341711,28.49954,12.549553,13.377106,15.97705,19.4397,11.08383,7.9004064,6.8886285,14.324403,26.697216,10.609781,12.101067,13.603669,9.521132,2.9428813,41.560123,8.079301,25.025972,20.127195,14.7634325
KRT8,-0.017006231,-0.052630413,-0.013976649,1.0638341,5.2529364,0.44015953,8.612729,0.19552769,10.334559,-0.08675334,23.900877,22.714226,8.7244215,0.003964981,5.311432,16.762363,3.8275392,4.254806,4.9714913,2.0120273,7.239616,4.050125,-0.03459899,-0.025490575,-0.058713395,0.77888125,3.493707,23.917704,24.968277,16.077343,-0.050327644,0.8559207,13.498853,25.285488,1.7223353
MT-ND6,19.380226,34.967712,18.745865,45.25215,32.253506,27.305807,36.18415,9.390969,20.818663,25.443737,19.937634,27.684591,16.91824,31.691946,16.930035,23.877846,22.13502,21.770502,13.330195,13.495582,34.053585,27.044676,23.103653,17.730461,20.383698,18.929554,21.550232,17.582527,27.062492,34.228016,9.4503,17.789429,17.925121,13.949174,9.7615185
LGALS1,7.83207,4.0416427,11.18248,5.0195994,6.683137,-0.024007617,0.39003322,8.026109,3.3302016,27.658112,0.004997228,1.1586277,-0.04653315,8.681415,3.442087,8.275562,0.14469816,1.1253271,3.5853791,0.12104384,2.5667968,5.9255733,8.20506,34.338856,9.116648,7.6317716,15.487634,4.988483,0.54522634,4.2043414,26.39357,-0.06052165,1.0453485,0.2292402,6.6093454
EEF1A1,9.38923,11.877359,15.896558,7.0667706,12.084809,9.988505,3.2086272,11.926702,15.25868,9.732474,11.990647,7.3015532,16.616985,12.365871,21.17854,5.246595,7.37612,6.5344267,8.070743,27.30486,5.5006137,4.5381403,17.031921,11.803877,9.80123,10.85916,16.529491,13.666225,9.009696,4.759261,7.082622,14.825714,12.880637,37.325424,39.011395
SERPINE2,2.872624,-0.07017764,18.72389,-0.059380695,0.05243998,-0.058357984,-0.042675924,-0.017043019,0.49916214,34.549786,-0.0551761,-0.06338944,0.5898248,2.4891803,-0.025540637,0.09415343,-0.023411373,0.009247249,1.0503483,-0.0838938,0.03513208,-0.043834712,-0.08566067,4.156895,4.1900325,0.09691251,1.5651056,-0.039916575,0.17339848,-0.059453577,29.47261,-0.0700172,-0.07794664,0.08635466,0.06897066
EEF1A1P6,13.852227,18.868067,24.735668,10.927898,17.70934,14.998886,4.8404193,18.101236,23.330482,14.745597,18.736576,11.071238,24.397861,18.415394,30.451406,7.6230726,11.696298,9.263487,12.775881,41.517536,8.340628,7.075881,26.657951,17.857944,14.831083,16.522259,25.277372,21.82442,12.295845,7.526568,10.073704,23.141813,17.847906,7.529029,7.864586
ACTG1,10.520798,8.611936,11.452984,9.900042,20.227861,8.89368,4.8834314,10.436597,38.08043,16.59295,6.562771,11.188796,7.1448164,5.2672253,12.198295,9.871408,2.0519633,6.151317,10.975745,7.835791,16.087015,12.003128,4.9763827,8.277246,22.846064,7.044031,34.37223,12.303153,9.171173,4.7692757,7.5496774,7.2316575,3.8412707,13.599805,20.248148
ACTB,26.526379,17.697306,16.229698,13.287786,26.299698,5.172359,6.720052,15.327636,21.469107,19.150902,11.555001,16.906992,9.694277,31.013407,17.406471,33.77965,8.446062,12.552689,15.927622,7.8634686,9.255131,11.00765,4.479898,23.277115,9.239839,11.559992,19.605637,15.655722,8.257698,13.869351,11.676772,4.3821087,8.277966,14.068681,29.45166
RPL13A,9.47858,12.535046,27.673203,4.5635405,4.2761946,11.543853,3.8836007,9.165683,11.624494,14.505569,23.423168,11.349045,19.489367,4.464714,18.016092,8.0294485,14.376415,2.4934735,10.738374,11.272952,13.003981,5.071707,28.762653,11.967297,7.1927557,4.142159,7.7104645,15.022285,6.9721384,5.395506,9.064917,27.51121,22.401655,18.426281,26.354328
RPLP1,13.078583,12.586291,29.587883,7.165119,18.462162,12.99499,4.9358706,13.316881,11.131258,18.88736,20.570322,12.028137,30.24298,6.496997,15.202774,10.793692,18.87656,5.041102,16.174326,21.973045,14.585966,4.3715467,30.407516,19.719368,23.0736,8.445901,11.688566,17.119616,14.732721,5.9041986,12.185941,20.61785,24.137098,20.9781,28.946218
RPS12,15.269879,12.316387,19.704447,7.5874777,9.81036,13.266894,5.0139594,15.018201,15.3236885,14.007469,14.60579,8.549501,28.2376,17.61591,21.780886,5.388923,13.185767,5.744105,12.840876,18.721958,13.634204,4.494865,38.86625,12.705521,15.881786,7.759881,13.398754,16.69394,14.788594,5.3821387,10.965152,15.104544,19.36825,23.576124,29.207325
ATP5E,7.3568974,6.2594438,19.00363,8.774847,7.798542,6.011533,2.932645,5.1023803,4.814776,26.005268,13.462925,29.988312,5.4993763,7.0907683,5.7704387,12.093554,6.5002995,7.040699,9.213587,7.804964,7.971446,7.033244,19.558636,20.444017,9.437846,4.470042,9.084035,13.495365,11.7928295,8.54913,18.138004,9.226376,29.670736,8.078604,8.227932
CXCL14,-0.09050163,-0.07807618,-0.11684523,-0.061209995,-0.07310625,-0.070241064,-0.04525033,-0.06339457,-0.099035434,-0.044861622,-0.07606316,-0.06639682,-0.04217188,0.028854283,-0.09272089,-0.08017755,-0.060559716,-0.045137372,-0.06541092,40.79244,-0.06599793,-0.045787033,-0.089421935,-0.092069216,-0.08250208,-0.052119717,-0.101799875,-0.08235778,-0.0834781,-0.060716838,-0.081308864,-0.07533513,-0.10024303,-0.093821794,-0.115349144
PRDX1,3.2836008,5.3146486,10.317979,5.1519957,4.52036,3.275828,1.8725632,3.200553,12.198686,5.0620804,5.805107,3.350518,4.4512973,6.5026784,6.8306065,6.3547263,7.2255573,2.9134214,15.893942,40.160637,6.799984,2.418954,4.7004805,3.885973,0.21879002,3.771822,11.046503,5.9057937,7.4830594,2.7221553,1.9701777,1.5905658,7.3875527,8.322265,12.784292
RPS11,11.740712,12.405418,24.94392,5.726829,13.734837,15.854722,6.856477,9.06911,12.714257,15.373922,25.513859,10.512181,16.043526,7.5314674,15.080517,10.287978,12.873743,3.6252365,8.566173,12.154511,17.664818,6.9945126,28.109623,17.73294,7.979439,5.8137875,11.053782,14.854726,9.675391,4.8460774,14.756563,21.78094,25.81194,22.337444,25.138489
HSP90AB1,17.988771,14.615601,18.88095,11.0315075,16.3394,10.300128,5.860602,16.944323,37.224636,18.365469,9.110326,6.807276,8.157857,7.66017,20.622423,6.563518,5.7648153,10.869486,14.970562,9.159477,4.540229,4.1117425,5.2525816,6.847149,14.302359,3.7074287,11.24785,12.640149,11.460934,7.080821,8.789998,10.906247,4.6875434,15.895854,19.406311
KRT18,0.62729263,-0.05195446,1.3995216,0.9651426,6.969069,0.53150463,7.354014,1.7687057,8.973701,0.09876309,17.325228,17.780996,7.3695917,0.7404149,5.1898556,14.28052,3.32434,6.6545386,2.8484385,2.2314188,5.7217736,3.291226,0.35964626,0.2646969,-0.025856324,0.61686045,1.2026035,14.441635,18.143911,8.134869,0.310131,0.9232609,9.2766905,26.441652,1.6349708
RP11-466H18.1,9.976445,6.9195848,17.755169,6.570732,9.387079,23.523714,3.9696174,5.820708,6.4057207,8.099274,14.172296,20.856869,11.755133,12.863943,11.00219,5.69104,5.498718,4.770937,13.9117,14.915427,10.895974,6.202377,22.420254,10.112691,7.612851,5.364185,7.676946,23.564226,10.266015,4.0261497,13.565945,7.5261984,26.740955,0.3452953,0.57481223
ENO1,17.178345,12.239039,27.68806,5.784096,3.552998,8.696535,2.5386617,14.455124,18.63646,19.252243,10.569481,8.875048,6.4195094,9.345382,17.578615,13.624082,9.271365,5.6465354,16.640636,9.237123,7.3349295,7.8489547,4.7360744,12.425672,24.241987,10.899652,23.524126,12.699045,8.424482,5.5829096,23.239178,6.208268,4.551891,12.037478,19.42759
RPL41P1,14.94162,12.334903,21.675991,11.188842,9.826093,20.059444,9.359002,13.345269,7.7168617,14.435162,11.860466,20.726402,22.550497,4.7166877,11.800099,8.038857,10.113734,4.7789493,9.680904,11.61095,9.942259,7.241907,31.763456,12.824777,12.572277,4.323553,11.794209,24.96487,7.397294,11.187198,8.020815,15.952752,19.88717,4.747111,5.061046
