,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
MT-CO2,138.6654,132.08038,88.66534,129.02676,122.21503,130.08026,116.00599,147.93123,150.27493,88.67057,121.10376,154.70644,161.34787,131.60243,137.8216,109.78225,144.44168,139.17432,154.71733,150.89662,90.21443,102.6525,179.9843,74.758606,79.06358,139.43822,136.33867,178.67375,103.77674,138.31964,132.70119,159.49721,139.79445,134.1071,106.90908
FTL,33.507965,7.071133,15.773384,11.231036,26.778683,4.0130424,19.85256,3.8101833,8.348491,19.01296,12.412223,19.124077,2.2574012,3.1517425,56.163464,51.150223,14.347689,68.40372,3.0115824,60.30394,7.8928514,125.08322,10.038144,30.605116,45.42778,38.770267,3.5961645,34.43507,34.99197,6.396747,20.167116,0.791694,21.789629,3.1672418,4.1849937
MT-ND2,46.01418,47.87583,34.807766,88.20957,53.57022,55.080532,29.537884,39.533794,28.851393,78.04372,30.601273,28.144245,26.651314,33.637253,36.051655,37.75271,46.98257,36.323204,115.44683,41.26088,46.164265,44.378426,46.68505,20.045938,41.703953,38.849804,41.071575,25.188255,52.729557,37.20308,53.635746,54.151505,71.73641,47.12401,30.010899
MT-RNR2,29.363176,43.444008,17.684273,13.120606,43.29156,53.964428,14.408345,57.979183,57.678417,79.85245,22.38678,34.236084,30.664478,63.02146,45.80457,20.732422,27.011435,73.39839,34.660088,47.62921,41.904987,29.008236,30.0698,59.660416,12.289041,23.45208,33.913666,57.014282,33.238365,59.669575,55.456463,15.444898,21.51329,28.767656,55.377277
EEF1A1P5,28.581236,41.351513,54.772686,23.942986,35.949894,30.014765,19.798353,9.664021,37.236958,44.28499,29.743744,40.788982,22.682636,50.204304,38.465263,62.61377,15.176592,25.612835,19.229753,28.816597,85.36409,15.4056225,13.703178,21.329021,57.95173,35.605076,30.494646,33.773712,52.704514,47.066708,24.994398,16.572939,18.826252,51.085117,35.221874
RPS18,32.00622,20.27272,30.988544,11.706711,17.530739,21.307968,66.75578,8.641458,28.410555,22.763285,31.143658,26.69102,19.6887,26.8989,12.366318,17.698189,11.050735,13.0990305,9.350728,14.959589,17.156689,9.874273,10.481843,60.675156,58.667255,22.953163,27.119026,5.9487414,15.998391,24.615366,9.835712,15.344304,22.145872,40.09311,27.629436
RPL19,11.882211,8.555707,16.23847,8.034883,3.9328945,8.094656,15.538571,91.658264,9.034012,9.435901,13.668193,8.75341,4.569644,10.161598,4.6752024,12.304133,6.444765,9.053809,4.190114,10.316123,12.319901,7.1406755,2.8110776,17.258617,12.81019,7.520094,10.318732,4.069162,8.350064,10.532517,6.2113395,7.1416106,11.881271,13.66901,11.346613
MT-ND1,25.335886,63.18607,13.186865,70.16504,48.37202,56.22474,26.663164,30.755562,14.621216,33.497097,17.688469,21.607313,17.357487,26.355427,25.263077,18.608341,21.700472,22.860939,41.919144,37.658554,27.915436,44.633537,24.120972,23.530382,18.857765,17.251152,28.346386,16.760557,34.17102,29.394222,36.645073,31.251616,12.903291,54.574753,21.05872
TMSB10,10.723496,3.2182357,19.931358,29.606806,22.952103,2.8751698,60.55606,4.80868,27.363129,15.98236,18.591127,31.274572,15.791848,26.53587,17.48275,45.2686,21.599348,17.94301,14.353174,21.808376,6.4851384,37.96894,15.712375,19.05663,18.787462,48.63764,21.736193,17.28338,53.85905,22.565592,13.159816,3.825876,15.239555,3.291676,20.658228
MT-CO1,99.73435,114.52331,82.98639,89.74686,116.565186,122.392296,67.92604,101.97807,95.71721,89.54509,97.35202,94.75395,110.270195,116.87476,110.67784,107.97774,124.340996,113.078186,74.43161,101.0379,102.587685,94.91668,102.05303,87.226135,79.58005,88.446335,118.45999,105.61378,86.45259,97.05373,126.22175,97.67009,97.74167,102.98312,99.83955
