,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMES1_LUNG ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
0,-0.81876576,-0.2898573,-0.79360145,-0.02177143,-0.08843625,-0.2823307,-0.83468014,-0.16532744,0.34655637,-0.20148285,-0.21777423,-0.8444707,-0.6036524,-0.05158047,0.06111556
1,-0.98841816,-0.622916,-0.76687205,0.721469,-1.4948387,0.1341124,-0.27021766,-0.829243,-0.22081637,-0.3248637,0.13267696,-0.5949478,-0.10511435,0.5376305,-0.33703524
2,0.8322412,0.3079403,0.34574124,0.31384173,0.46287352,0.2136513,-0.22356309,0.01595732,-0.17541362,-0.3248637,0.16650724,-0.04091618,-0.9325222,0.31413668,-0.30786666
3,-0.18245459,-0.8303869,-0.72343665,-0.05913728,-0.49573037,-0.5074622,-1.1053916,-0.12716223,-0.37115237,0.1009315,-0.5915991,-0.12737696,-0.43343332,-0.7064851,-0.84128666
4,1.7103873,0.70982105,0.42592958,1.1562716,1.7455125,1.3499217,1.0142225,0.60036206,1.0098034,0.6648083,1.2752185,0.26283425,1.0836648,0.8491673,0.34368593
5,-0.61187273,-0.614376,-0.75684845,1.0543648,-0.29545867,0.918139,-0.42987987,0.26641652,0.04944329,-7.3076954,1.5622635,-0.9961563,1.2764695,0.18884467,-0.094753906
6,0.07685145,-0.33557123,0.39585897,0.09847863,0.5191296,0.62839,-0.6111991,0.7593838,-0.3285536,0.6516827,0.0055570244,-0.07580385,0.2011698,0.033076275,-0.14299141
7,3.121858,0.6646095,0.50277674,0.53124297,0.059517294,0.065936185,-1.8887273,1.4908837,-1.0608213,-0.67925555,0.7575124,2.0830615,-0.35631144,0.45636004,-0.545955
8,-1.1171517,-1.3849823,-1.154449,0.7962007,-2.034897,-0.11018575,-0.67282915,-1.0614147,-0.51027244,-0.5164978,-0.42757335,-0.90893704,-0.68848646,-0.51956296,-0.59335387
9,-0.6100337,0.13714102,-0.2844055,-3.6741126,-0.33793205,-0.8180822,-0.1913081,-0.09853831,-0.45958525,-0.37999132,-0.7545997,0.39555913,-0.79094845,-0.2933601,-0.4887117
10,0.008346813,-0.24916688,-1.5286613,-0.37824154,-0.79670054,-1.4964356,-2.1363995,-0.75688815,-2.058388,-0.2907371,-0.9698834,-0.050017305,0.0039580753,0.21051684,-1.4793487
11,-0.5700343,0.7198681,3.7303574,0.40895477,0.68227226,2.1850805,0.26544568,2.0236065,1.6838348,0.46792394,0.26287237,0.084982894,0.4116024,0.22541638,1.1057143
12,-0.58336747,-0.47045246,-0.2920902,0.05635715,0.16134086,0.15683778,-0.13025399,-0.5125513,-0.301808,0.35241845,-0.39989403,0.2855871,-0.28155825,-0.019749517,-0.43000996
13,-0.94703954,-1.2744651,-0.94395465,-0.15425032,-2.0911534,-1.2691815,-0.36323875,-0.16691765,-2.1824098,-0.59000134,-1.2056704,-1.6294436,-2.1940162,-1.8056682,-1.3444443
14,-0.60267746,-0.6384888,-0.44845748,0.32742932,-0.72356766,-0.19483788,-0.5415052,0.43338925,-0.67581457,-4.420058,0.480719,-0.72691435,0.8082293,-0.03803537,-0.8923316
15,0.20236658,0.47873962,0.61303574,0.918489,1.1998284,0.5034002,0.4555198,0.99791634,0.66469926,0.46792394,0.59861255,0.13769361,0.7476335,0.67985374,0.75569177
16,1.8667067,1.0463963,0.14192921,0.44971752,0.37848938,0.4693122,0.72047156,0.5208512,1.0367646,-0.52437323,1.1983315,2.04514,-0.28216422,0.9439828,0.39473093
17,-0.7484222,-0.61839485,-1.0308254,-0.032641515,-0.41865954,-0.40391165,-0.5328655,0.12011653,-0.6294412,0.06842721,-1.0365189,-1.583938,-0.4642821,-0.0075589563,0.14606896
18,0.069035485,0.4435751,0.33905888,1.1698592,0.100021705,2.4521039,1.2734144,0.8388946,0.6916605,0.83806646,0.9369155,-0.2991609,1.078156,1.1607041,1.0801919
19,1.126489,0.03516374,-0.27050617,-0.49801606,0.12814975,-0.2402887,0.10359475,0.7593838,0.9558808,0.7278113,0.07219248,2.048932,0.5658462,-0.108469784,0.52234334
20,0.9149984,0.5792098,0.97054213,0.2547358,0.5641344,0.2136513,0.43248054,0.56060666,0.22469145,0.38129482,0.5217255,0.47898623,0.92942095,0.6459911,0.39108482
21,-0.64681464,-0.2602186,-0.09328994,0.1501114,-0.52610874,-0.30335173,-0.1653889,0.15430622,-0.103157446,0.052944224,-0.2247966,0.20215999,1.1662953,-0.73831594,0.13476616
22,1.2874058,0.895691,-0.07357697,-0.080877416,0.88479424,-0.33459914,0.28272516,0.5765088,1.0205879,0.31199154,1.0701864,0.7292674,-0.5463618,1.4112881,0.44212982
23,0.45063832,0.046717837,-1.9797207,-0.70115036,-0.5351097,-2.1100216,-0.42109615,-0.88331044,-1.7402451,0.05110664,0.6242415,-0.6245265,0.4446547,-0.22360298,-1.5048712
24,0.11501173,0.3581754,-0.06455578,2.5354106,0.35598695,-0.091437295,0.82990825,0.39363384,0.5029317,-0.3589903,1.2547153,0.4827783,2.0091276,0.6459911,0.2054999
25,-1.126347,-0.40198204,1.4516722,-0.06796922,0.31660765,-0.03519192,1.1985368,-1.3110789,1.3117695,0.9273208,-1.0723995,0.3121321,0.5988985,-0.7132576,0.39837697
26,0.11041409,-0.34863237,1.3480957,0.14603513,0.5360065,3.2134051,2.4368982,-0.477328,1.7269728,1.6282291,0.21366465,0.7292674,1.7832705,0.28027397,0.41296127
27,1.0161462,1.2372895,1.5318606,1.237797,1.739887,1.2647015,1.8205975,2.1826282,1.1877476,1.4838473,1.5673894,1.339802,1.9485317,0.4699051,1.6307484
28,0.27133095,0.12709396,-0.710072,0.17932469,-1.7704936,0.6340714,0.058668163,-1.1544424,0.058070883,-0.73175806,-0.23366421,-0.23666643,-0.98210067,1.0320259,-0.28635484
29,-0.18061554,-0.39499936,-1.0776019,-0.23305827,-0.44735014,-0.7129772,-1.514339,-0.9182952,-0.31399447,-0.12062901,-1.2056704,-1.2274767,-0.40093192,-0.33758482,-0.64804494
30,-0.34272778,1.5939586,-0.7434838,-0.40276712,-0.4282231,0.74201703,2.6788108,0.7355306,2.3039439,-1.2462823,1.3726088,0.5586211,0.30142826,1.7228248,0.63537145
31,-1.6688666,-1.2644181,-0.94729584,-2.2949731,-1.2698143,-1.4509848,-0.4358125,-0.9906501,-1.783383,-0.49549684,-1.6311121,-1.7090786,-0.993118,-1.2029122,-0.17405592
32,0.49201694,-0.1537202,0.10183502,-0.38030007,-0.5694259,-0.18461145,-1.4625006,0.22745621,0.016550545,0.09502498,0.3628255,2.367472,0.70907265,-0.48976377,0.10122232
33,2.0230258,1.3980418,1.8492727,0.5991809,1.4248528,2.1509924,2.3044224,1.5624434,0.71322954,1.2580864,1.9672021,1.1729478,1.5078351,1.0658885,1.1385291
34,1.3287846,0.955973,1.1509659,0.18068348,0.18384327,-0.022124784,-0.7989692,0.8945523,-0.03144049,0.63068163,0.94716716,1.0212622,0.8467903,0.8153046,0.13002627
35,-0.17188005,0.27277577,3.6969457,-0.07068673,0.41224307,1.1794811,-0.2068596,0.14078937,-0.19698264,0.52567667,-0.1620055,-0.11334605,-0.3287679,0.5037678,-0.52407855
36,-1.3010566,-0.5129011,-1.0742606,-0.7398749,-0.73144346,-1.2294121,-0.5374734,-0.5205819,-0.54046905,-0.10094057,-0.5321398,-0.798965,-0.6229329,-0.829068,-0.6881517
37,1.126489,0.5390218,0.21543519,-0.18618113,-0.09181161,0.06025481,0.41520107,0.04458124,0.7347985,0.91944546,1.2137089,-0.090972416,0.42812854,0.368317,0.40566912
38,-0.9976134,-0.99314857,-1.3649434,0.40895477,-0.9210266,-0.057349186,-0.5858559,-0.69805014,0.15782754,0.53880227,-0.048776492,-0.8710156,-0.6741639,1.6957347,-0.91785413
39,-0.24038467,0.6847035,-0.027134556,0.57200575,1.2617102,2.4918735,0.80686885,0.7673349,0.40587115,0.4547983,1.003551,0.16803074,0.5823724,0.6392186,1.3682314
