,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
A2058_SKIN ,1.0,0.93030337818552,0.884732016666762,0.8686445457780178,0.9271236884176001,0.9096366962775181,0.8104280058661242,0.8313361629960617,0.9061984561382154,0.8720048008935236,0.9333459546574456,0.9092746068571768,0.8971130241244836,0.9016056825315345,0.9323196411544097,0.9043282337764393,0.9192618156175066,0.8964671679803421,0.8691644205524034,0.9465460653836432,0.8132623623561849,0.800159962490895,0.9081323890086801,0.7844311003407001,0.7818654453423707,0.9022632268058581,0.9363069813495141,0.8963223479414659,0.8366795248709151,0.9197457539333967,0.8986006047657795,0.8796957364783958,0.9401887864468517,0.9047702534324629,0.8443858607093612
A2780_OVARY ,0.93030337818552,1.0,0.8228512073389319,0.9081134274410257,0.9282703135637527,0.9638170354490854,0.757941220638242,0.8631266198448614,0.8599931755767728,0.8773345870670815,0.8726435433159246,0.9007686954548128,0.8996267592538952,0.9254652265170734,0.9097153249417574,0.869071117295093,0.8986205369789345,0.8839475015053924,0.8880619908608901,0.9180908092407489,0.8462952666348659,0.7668687565712689,0.9156312452930844,0.7606878054371493,0.7587598369843133,0.8539775361989917,0.9154436426021493,0.8838519329747774,0.8169271942001943,0.927746806017801,0.9245348208380748,0.9046432712879456,0.873292951778324,0.9473054344716333,0.837329022095571
A375_SKIN ,0.884732016666762,0.8228512073389319,1.0,0.7523827351614777,0.833615918728765,0.8178707964738936,0.7882696125665972,0.6638016449833414,0.7821669692027816,0.8210246121664061,0.9186245415518667,0.8366934962981967,0.7819205736016482,0.8616325869626641,0.8187803262845708,0.8782175857528073,0.7900129569608421,0.7678475458922684,0.7064586144837327,0.8274676437994691,0.8349820656611582,0.6702027616456951,0.7196451904407009,0.790342577526302,0.85305821570448,0.8209065150507803,0.8566944818420322,0.7350855900210312,0.7892516997865568,0.8594661311756934,0.7778584566974078,0.7172625763365645,0.8704368669394943,0.8354936322231167,0.853464073146458
A427_LUNG ,0.8686445457780178,0.9081134274410257,0.7523827351614777,1.0,0.8889505929090814,0.8866012704844838,0.7417484130268491,0.8128616047683513,0.7745881371403232,0.8182960091215663,0.8124067396663959,0.8309367054324956,0.8286961333376625,0.8136668103958519,0.8486268441694285,0.8013915452165523,0.8567984439736476,0.8112613484676167,0.9377142353453353,0.8611641367006603,0.741715912434381,0.7702603267001591,0.8837798250146554,0.6432262370280816,0.6901880196930382,0.8213336256708227,0.8453560373778102,0.8113328964780274,0.8018638989899115,0.8357293638508471,0.8625505916099361,0.9113580112693473,0.859771444717288,0.8672359409302649,0.7518370797743853
CAOV3_OVARY ,0.9271236884176001,0.9282703135637527,0.833615918728765,0.8889505929090814,1.0,0.9107619556253712,0.795613829539738,0.8256825048555506,0.843362249353319,0.8855007572196221,0.8831526021101318,0.9002427307357967,0.8820983256840269,0.9026572004821063,0.9401672294320644,0.881529749118154,0.9407637784690549,0.9034641549344073,0.871572686494686,0.9225390308267793,0.8263302333583935,0.808854530420028,0.894331875923098,0.7538295757159288,0.7370844884995651,0.8784180355715047,0.9210320272407524,0.8971947191370129,0.8800749058704774,0.9148299748395634,0.9269680688365664,0.859145022911544,0.8930387391503805,0.8834181475694164,0.8422366481391419
COLO320_LARGE_INTESTINE ,0.9096366962775181,0.9638170354490854,0.8178707964738936,0.8866012704844838,0.9107619556253712,1.0,0.7595004190070015,0.8519430620948637,0.8634375783853269,0.8747977150369886,0.8517128352211526,0.9006527111481267,0.9041007614463883,0.9460872501214196,0.8930721916293841,0.8557807429765996,0.8859562909623824,0.8901939606771103,0.8770561418775313,0.9156022891677448,0.8476083548576099,0.7575455381543718,0.8961004193928926,0.765400925408746,0.7855840678854424,0.8253469560176175,0.9062163240183638,0.8768024249325059,0.787215237564665,0.9325650773182275,0.9348862197317783,0.880854576841352,0.8727882324065019,0.9351308401748938,0.8791362013215926
DLD1_LARGE_INTESTINE ,0.8104280058661242,0.757941220638242,0.7882696125665972,0.7417484130268491,0.795613829539738,0.7595004190070015,1.0,0.6854426377740467,0.7557579057217254,0.7572588120740454,0.7857552613147976,0.8630217944810367,0.7983472490387767,0.8137477885428143,0.7652882291037193,0.8125066105434026,0.7957935726573919,0.7474630142489349,0.7213169500623499,0.8028469630834989,0.6935014734011222,0.6964717382239062,0.747810353344838,0.850962947678056,0.7580770292424883,0.7817922840818335,0.7876392994147974,0.7342458318049262,0.7575277271023796,0.8351000867496315,0.7888217549263717,0.7421904710089048,0.7675711015185721,0.7781534678108348,0.7850783923864847
EFM192A_BREAST ,0.8313361629960617,0.8631266198448614,0.6638016449833414,0.8128616047683513,0.8256825048555506,0.8519430620948637,0.6854426377740467,1.0,0.792164455432129,0.7603720699241069,0.7666098053147268,0.8354641882887704,0.8567434215255259,0.8247402707251773,0.8234952549696678,0.7359398861189752,0.8475715554307315,0.8404999515492804,0.8368236666349096,0.8368689088529355,0.6944970373417865,0.6974783556227426,0.8912159358099774,0.6351087189255396,0.6011230522084454,0.767560400192541,0.8156392725939475,0.8510612143576274,0.7125108893638219,0.8409510620023056,0.8617335243048267,0.8780676865902907,0.7960132799940094,0.8302640310836895,0.7515523014113569
ES2_OVARY ,0.9061984561382154,0.8599931755767728,0.7821669692027816,0.7745881371403232,0.843362249353319,0.8634375783853269,0.7557579057217254,0.792164455432129,1.0,0.7992819787620424,0.8364169258882458,0.8716778815708355,0.8612350228770809,0.8908146233001174,0.8572322591517443,0.8371283996424154,0.8486163148649171,0.850296161725309,0.7999854862055705,0.8757765750192106,0.7698415432053379,0.6894758972796295,0.8627574359402804,0.7312702568426412,0.7032160412370447,0.842408997509978,0.8755912007999301,0.8813777370858458,0.7618585215859545,0.885294377228298,0.8483193400408565,0.8102778073187068,0.8429853367541226,0.8437811530423389,0.8044637306855006
HCT116_LARGE_INTESTINE ,0.8720048008935236,0.8773345870670815,0.8210246121664061,0.8182960091215663,0.8855007572196221,0.8747977150369886,0.7572588120740454,0.7603720699241069,0.7992819787620424,1.0,0.8136417188195163,0.8211995845166868,0.7876365104071408,0.8726144477732749,0.8422664407739353,0.8474986523343011,0.821169524730118,0.8310410439379886,0.8346490342037748,0.8612514735318403,0.8283971339158661,0.7230232351032447,0.7792748775326193,0.788102285145897,0.7364928062748528,0.7645356931201869,0.8380651359199388,0.7828734749326501,0.8205678231430711,0.8881551949564385,0.8818374779631638,0.773665504208618,0.828604862013491,0.8315208085836935,0.8129136429827735
