,A375_SKIN ,A427_LUNG ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,KPL1_BREAST ,MSTO211H_PLEURA ,NCIH2122_LUNG ,NCIH520_LUNG ,OV90_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKOV3_OVARY ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A375_SKIN ,1.0,0.7523827360651401,0.6638016483004291,0.7821669662902477,0.8210246092019611,0.7819205766088486,0.8782175871363528,0.7678475480729705,0.8349820658598021,0.6702027670677102,0.853058213306369,0.8209065124550096,0.789251699787248,0.8534640736085422,0.7882696087453699,0.7903425831325576
A427_LUNG ,0.7523827360651401,1.0,0.8128616103682132,0.774588147154695,0.8182959973742636,0.8286961429133605,0.8013915418679343,0.8112613470071416,0.7417159059035482,0.7702603385321596,0.6901880132428919,0.8213336311969485,0.8018639017706889,0.751837087621088,0.7417484152288103,0.6432262444839029
EFM192A_BREAST ,0.6638016483004291,0.8128616103682132,1.0,0.7921644526152153,0.7603720773621647,0.8567434126382868,0.7359398815399146,0.8404999386438392,0.6944970353871647,0.6974783671400417,0.6011230454566928,0.7675603939964634,0.7125108881420575,0.7515523099043971,0.6854426281056866,0.6351087306721398
ES2_OVARY ,0.7821669662902477,0.774588147154695,0.7921644526152153,1.0,0.7992819700254962,0.8612350322886834,0.837128397078434,0.8502961540049218,0.7698415322099348,0.6894759088906831,0.703216025216711,0.8424090047377234,0.7618585175207875,0.8044637317283705,0.7557579069995373,0.7312702576707648
HCT116_LARGE_INTESTINE ,0.8210246092019611,0.8182959973742636,0.7603720773621647,0.7992819700254962,1.0,0.7876365131683538,0.8474986482621324,0.8310410513547355,0.8283971280542978,0.7230232358533409,0.7364927975382095,0.7645356854841906,0.8205678183112017,0.8129136429752172,0.7572588004413399,0.7881022847992845
KPL1_BREAST ,0.7819205766088486,0.8286961429133605,0.8567434126382868,0.8612350322886834,0.7876365131683538,1.0,0.8327322059161423,0.8717973581083558,0.7716284224896556,0.744226535091199,0.7206125259504575,0.8511017701385399,0.7686479152558997,0.8716812004162753,0.7983472450058319,0.6977018923577887
MSTO211H_PLEURA ,0.8782175871363528,0.8013915418679343,0.7359398815399146,0.837128397078434,0.8474986482621324,0.8327322059161423,1.0,0.8638093790331115,0.8484690870476475,0.8106571910433561,0.8229150571404465,0.8697269182089573,0.8453651079152142,0.8202240283502693,0.8125066028749118,0.7838732292854539
NCIH2122_LUNG ,0.7678475480729705,0.8112613470071416,0.8404999386438392,0.8502961540049218,0.8310410513547355,0.8717973581083558,0.8638093790331115,1.0,0.782475331295303,0.8688254652710931,0.7372274036151428,0.8594779346788164,0.8150090873727817,0.833030189238021,0.7474630025531535,0.74869379848001
NCIH520_LUNG ,0.8349820658598021,0.7417159059035482,0.6944970353871647,0.7698415322099348,0.8283971280542978,0.7716284224896556,0.8484690870476475,0.782475331295303,1.0,0.6555161689375166,0.7756129697647639,0.7472734247279786,0.772278908976587,0.8212274824785537,0.6935014607106531,0.7281935810961769
OV90_OVARY ,0.6702027670677102,0.7702603385321596,0.6974783671400417,0.6894759088906831,0.7230232358533409,0.744226535091199,0.8106571910433561,0.8688254652710931,0.6555161689375166,1.0,0.7080365826927489,0.7916992341311362,0.7672502436424032,0.6935296517867277,0.6964717375220765,0.669183520194641
RKO_LARGE_INTESTINE ,0.853058213306369,0.6901880132428919,0.6011230454566928,0.703216025216711,0.7364927975382095,0.7206125259504575,0.8229150571404465,0.7372274036151428,0.7756129697647639,0.7080365826927489,1.0,0.7434453883150778,0.6992998944161134,0.8336206298827545,0.7580770201421406,0.7681508709546363
RPMI7951_SKIN ,0.8209065124550096,0.8213336311969485,0.7675603939964634,0.8424090047377234,0.7645356854841906,0.8511017701385399,0.8697269182089573,0.8594779346788164,0.7472734247279786,0.7916992341311362,0.7434453883150778,1.0,0.8707728836660242,0.7870297384215007,0.7817922806289205,0.7171324487831763
SKOV3_OVARY ,0.789251699787248,0.8018639017706889,0.7125108881420575,0.7618585175207875,0.8205678183112017,0.7686479152558997,0.8453651079152142,0.8150090873727817,0.772278908976587,0.7672502436424032,0.6992998944161134,0.8707728836660242,1.0,0.7408830723429736,0.7575277197259717,0.70545003934875
ZR751_BREAST ,0.8534640736085422,0.751837087621088,0.7515523099043971,0.8044637317283705,0.8129136429752172,0.8716812004162753,0.8202240283502693,0.833030189238021,0.8212274824785537,0.6935296517867277,0.8336206298827545,0.7870297384215007,0.7408830723429736,1.0,0.7850783887797502,0.7655472622950052
DLD1_LARGE_INTESTINE ,0.7882696087453699,0.7417484152288103,0.6854426281056866,0.7557579069995373,0.7572588004413399,0.7983472450058319,0.8125066028749118,0.7474630025531535,0.6935014607106531,0.6964717375220765,0.7580770201421406,0.7817922806289205,0.7575277197259717,0.7850783887797502,1.0,0.8509629521394517
PA1_OVARY ,0.7903425831325576,0.6432262444839029,0.6351087306721398,0.7312702576707648,0.7881022847992845,0.6977018923577887,0.7838732292854539,0.74869379848001,0.7281935810961769,0.669183520194641,0.7681508709546363,0.7171324487831763,0.70545003934875,0.7655472622950052,0.8509629521394517,1.0
