,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A2058_SKIN ,1.0,0.8237846463869912,0.7539298423403747,0.8268132021735712,0.74194375040041,0.7136500503788606,0.6033174334154537,0.8436915765380113,0.7700627260496566,0.7946056762124415,0.5911000969748154,0.502291801350037,0.6362820983232285,0.712939504598163,0.7648442914635496,0.6340106814832934,0.6483963214695485,0.7142091683702293,0.7778554330543568,0.5689666218207444,0.586497300508448,0.7082685397119377,0.5875922399082114,0.7090722718245301,0.7548034642018882,0.7548267607848619,0.7435046214596474,0.6429565693451913,0.5996482215970973,0.60155854140094,0.7951182010378628,0.678635286169401,0.522280269541465,0.4731011828840005,0.548931560463369
A2780_OVARY ,0.8237846463869912,1.0,0.7552111544039278,0.8168888578267782,0.6943255348021828,0.8685257339879673,0.6197182278289332,0.8198708204474109,0.7863004443823203,0.708326781169372,0.6386543854516199,0.5849713743236711,0.7659042859888526,0.7074997524738059,0.7839824343764379,0.6057286297532309,0.688711058305523,0.7484318487585834,0.7705519542921042,0.6979714500375658,0.5726940750965352,0.734978072091276,0.658355610690802,0.6368645128975707,0.732625117210933,0.7064514062399897,0.6960145370677756,0.7048555903062919,0.5832707237665915,0.7025026354259489,0.697272552548355,0.8430509205062348,0.5857984030192371,0.508500340712526,0.6230962323601186
A375_SKIN ,0.7539298423403747,0.7552111544039278,1.0,0.7557819206867833,0.6966901379740127,0.7527533649002033,0.549770237450422,0.7313787500218405,0.6805921991391912,0.7921245901257433,0.6934189873557709,0.5858449961851845,0.7830389227660033,0.7140577405809003,0.7648559397550364,0.604820063017257,0.7238888985957984,0.6813027449198888,0.7712625000728018,0.6606270275307369,0.5535792287666207,0.6363985812380969,0.7463701011654116,0.649724226699049,0.6937780651023011,0.7132190635938473,0.6576334166186175,0.6883849061438914,0.57149430107339,0.5829795164794204,0.7965276443077711,0.7698647050943803,0.6812561517539415,0.5216163169267147,0.543025876679538
A427_LUNG ,0.8268132021735712,0.8168888578267782,0.7557819206867833,1.0,0.8164578710417649,0.7284433805671553,0.6593224188842102,0.7357002661634605,0.7649840709613918,0.7467661430759643,0.6597960960665373,0.5638064286920715,0.6832713061811658,0.7974944525011793,0.751483701128137,0.6888974309693126,0.6691186320246478,0.8133011840488297,0.8130798665105795,0.6151404492746027,0.5884658617697249,0.7739532554062633,0.634266943896004,0.7214893505495081,0.7759567615420008,0.8165161124991992,0.8050308970931689,0.706730965235674,0.6642612944746329,0.6330205767069115,0.7968537964694028,0.6974822217951182,0.5773184468168131,0.5359437154555355,0.530538908205639
CAOV3_OVARY ,0.74194375040041,0.6943255348021828,0.6966901379740127,0.8164578710417649,1.0,0.6769579321952952,0.784192103623201,0.6424090996453096,0.8284323146902428,0.6459734768402845,0.7725693585008748,0.6799631913989016,0.7207322116028632,0.8172033616969231,0.7084083192097799,0.8302610964536776,0.7466613084525827,0.8235633288487411,0.7983913709456666,0.6432361283408756,0.6991246308947635,0.8715193449000868,0.6040629240706119,0.6656940343275151,0.6795089080309146,0.8678617813732171,0.8329984449530865,0.804483427393287,0.7997775176326012,0.6900040186605629,0.671378400573096,0.6594389017990786,0.648885549711996,0.6722403741431225,0.5515640743393962
COLO320_LARGE_INTESTINE ,0.7136500503788606,0.8685257339879673,0.7527533649002033,0.7284433805671553,0.6769579321952952,1.0,0.6496543369501279,0.7483386624266886,0.7337317049021834,0.5792404149121427,0.7363488906457313,0.6775636433526112,0.864006196891071,0.685076791361627,0.7632251789468779,0.5688268423229023,0.7005690190391325,0.7469525157397539,0.753079517061835,0.7856481400590568,0.6400910896394272,0.7142441132446898,0.8050308970931689,0.527731669957309,0.6206034979819335,0.6608134001945265,0.5769573497807209,0.7550247817401383,0.6357462769148335,0.6509472973051678,0.6420363543177304,0.909283105900442,0.749060856498873,0.5872078462891456,0.6122050798199175
EFM192A_BREAST ,0.6033174334154537,0.6197182278289332,0.549770237450422,0.6593224188842102,0.784192103623201,0.6496543369501279,1.0,0.5403118247631029,0.7434580282937,0.44785933523200483,0.7624178429080922,0.7752112708868427,0.7070454691058189,0.5494440852887903,0.5817797424562752,0.8075352797628408,0.7148265278190321,0.791845031130059,0.695758274655065,0.5376676625955888,0.6332302459536747,0.7414778187409362,0.49511645379413977,0.42000827028695564,0.4808938898887006,0.6318324509752532,0.6404288900925457,0.8082341772520516,0.8161084222971595,0.788362191975492,0.5025247671797739,0.6233757913558029,0.6556299104828799,0.6671034775974234,0.40453933919242396
ES2_OVARY ,0.8436915765380113,0.8198708204474109,0.7313787500218405,0.7357002661634605,0.6424090996453096,0.7483386624266886,0.5403118247631029,1.0,0.7154205906848613,0.7191596922521389,0.5700108038242325,0.4984478651593777,0.7131957670108737,0.639124281446019,0.7941397445529677,0.5542082365069103,0.6173186797826429,0.6983791402396053,0.6900389635350235,0.5967477970168725,0.5032935544179058,0.6617918566794215,0.5876038881996983,0.6701553299669771,0.7512390870069132,0.6596252744628681,0.6349075999277806,0.6389845019481768,0.5022568564755765,0.5155359087705811,0.6970162901356444,0.6964455238527889,0.5047495908537615,0.4792281842060816,0.6105859673032458
HCT116_LARGE_INTESTINE ,0.7700627260496566,0.7863004443823203,0.6805921991391912,0.7649840709613918,0.8284323146902428,0.7337317049021834,0.7434580282937,0.7154205906848613,1.0,0.6312966295668583,0.7064825843004705,0.6317742095178189,0.713021042638571,0.745123733976319,0.7971915969225214,0.7663119761908922,0.6866260141293776,0.8553165714418838,0.8334294317380998,0.6516927879603259,0.6075923563911263,0.7958753399845078,0.5831891857261836,0.49168020780552013,0.6309471808222529,0.7560964245569282,0.7496898642391627,0.7355255417911578,0.7891426275051107,0.7227706626130612,0.6436904117088627,0.707418214433398,0.5893394836312383,0.7112970954985177,0.6410229529583749
HT144_SKIN ,0.7946056762124415,0.708326781169372,0.7921245901257433,0.7467661430759643,0.6459734768402845,0.5792404149121427,0.44785933523200483,0.7191596922521389,0.6312966295668583,1.0,0.5150015870865204,0.432553480218289,0.5530550556497126,0.6451697447276921,0.6406269110478221,0.5972137286763464,0.5481045317678029,0.6150822078171684,0.6494213711203909,0.4389949854105149,0.4963744692747191,0.6182039499356432,0.505168929347288,0.8068946237310642,0.810703615047263,0.700906819492251,0.7046342727680418,0.5456350939725916,0.4651337515069977,0.4872655053320054,0.8660446479012691,0.5779823994315634,0.4490358126721763,0.3870203087962073,0.48308376868822767
HT29_LARGE_INTESTINE ,0.5911000969748154,0.6386543854516199,0.6934189873557709,0.6597960960665373,0.7725693585008748,0.7363488906457313,0.7624178429080922,0.5700108038242325,0.7064825843004705,0.5150015870865204,1.0,0.8024298406834317,0.8550744473633871,0.6739138664606309,0.6921959131879658,0.7858892186045432,0.8052137904558643,0.7687195869536405,0.7427147004810218,0.6389572419122193,0.743233050961663,0.7324117566579395,0.7186900293277065,0.5849439569968629,0.5246988179884041,0.7258013319890879,0.6411180062753417,0.8789243936355873,0.8234608922069763,0.6868493318258462,0.5682460825249708,0.7379272387384702,0.7868094363117489,0.7796748369995523,0.5577043480310313
KPL1_BREAST ,0.502291801350037,0.5849713743236711,0.5858449961851845,0.5638064286920715,0.6799631913989016,0.6775636433526112,0.7752112708868427,0.4984478651593777,0.6317742095178189,0.432553480218289,0.8024298406834317,1.0,0.7478727307672147,0.5417329163244982,0.5736026418325092,0.7638192418127071,0.6290368610184102,0.7386705804926063,0.6474528098591139,0.5660661972405198,0.7377853103396059,0.7295732648413794,0.5536957116814891,0.4161410375133227,0.42692735543014226,0.572868799468838,0.5140099825858042,0.8413852148236157,0.7544540154572829,0.8092941717773545,0.4545338062539677,0.6670102912655286,0.7881991158946762,0.6205452565244993,0.39174951513986683
LOVO_LARGE_INTESTINE ,0.6362820983232285,0.7659042859888526,0.7830389227660033,0.6832713061811658,0.7207322116028632,0.864006196891071,0.7070454691058189,0.7131957670108737,0.713021042638571,0.5530550556497126,0.8550744473633871,0.7478727307672147,1.0,0.6649951368383042,0.7312273222325115,0.6237834815578425,0.8004414702473515,0.7379017932544744,0.7298178789626032,0.7580999306926657,0.6654610684977781,0.6975171666695787,0.7910645956004403,0.5481394766422635,0.5791006354143006,0.6661250211125284,0.577702840435879,0.8330217415360602,0.6899807220775893,0.6796719841117305,0.5711565006202716,0.857261836120187,0.8273373752904792,0.6696078602670953,0.5729736340922196
MDAMB436_BREAST ,0.712939504598163,0.7074997524738059,0.7140577405809003,0.7974944525011793,0.8172033616969231,0.685076791361627,0.5494440852887903,0.639124281446019,0.745123733976319,0.6451697447276921,0.6739138664606309,0.5417329163244982,0.6649951368383042,1.0,0.7322640201748408,0.698181119284329,0.6763755176209529,0.7233647254788904,0.7749317118911584,0.7262185568931677,0.6181457084782089,0.80380782648705,0.6615938357241452,0.6593690120501575,0.6566549601337224,0.8543264666655018,0.7741396280700529,0.6906330264008527,0.6624092161282243,0.5578075585763458,0.7377736620481191,0.6503765310223123,0.5873592740784745,0.5184246850593189,0.5608477626544127
