,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
A2058_SKIN ,1.0,0.9303033806917229,0.927123694828643,0.9096366995712609,0.9092746081002783,0.8971130251119874,0.9323196489656495,0.9192618165689003,0.9465460683482352,0.9081323830163873,0.9363069832535305,0.9197457531391414,0.8986006104034578
A2780_OVARY ,0.9303033806917229,1.0,0.9282703150507813,0.9638170328581435,0.9007687012414932,0.899626761029654,0.9097153282451066,0.8986205363987138,0.9180908076123676,0.9156312414882906,0.915443642298198,0.927746803352774,0.9245348181368266
CAOV3_OVARY ,0.927123694828643,0.9282703150507813,1.0,0.9107619568812634,0.9002427406420509,0.882098331532917,0.9401672304296751,0.9407637821171069,0.9225390341949213,0.894331876684756,0.9210320299760075,0.9148299741729945,0.9269680680741809
COLO320_LARGE_INTESTINE ,0.9096366995712609,0.9638170328581435,0.9107619568812634,1.0,0.9006527170527511,0.9041007633731972,0.8930721952084534,0.8859562893970385,0.9156022878801284,0.8961004151045272,0.9062163251232839,0.9325650745246931,0.9348862201485543
HT29_LARGE_INTESTINE ,0.9092746081002783,0.9007687012414932,0.9002427406420509,0.9006527170527511,1.0,0.9419994762050793,0.9086612540436187,0.9169185161935548,0.9253295610240976,0.9126689672607178,0.8945587991477333,0.9582138683144503,0.923332524506634
KPL1_BREAST ,0.8971130251119874,0.899626761029654,0.882098331532917,0.9041007633731972,0.9419994762050793,1.0,0.8862563902595224,0.9320112334795294,0.9014763612643109,0.9361124660044536,0.8896598095023137,0.9348823416013872,0.9246090288903536
MDAMB436_BREAST ,0.9323196489656495,0.9097153282451066,0.9401672304296751,0.8930721952084534,0.9086612540436187,0.8862563902595224,1.0,0.9259816840871669,0.950508186469512,0.9061040242702116,0.8977277278626938,0.9051641091540276,0.9133932351567268
NCIH1650_LUNG ,0.9192618165689003,0.8986205363987138,0.9407637821171069,0.8859562893970385,0.9169185161935548,0.9320112334795294,0.9259816840871669,1.0,0.9132154742688129,0.9326189490887347,0.9153802116203161,0.9100016138024507,0.9344086734965705
NCIH460_LUNG ,0.9465460683482352,0.9180908076123676,0.9225390341949213,0.9156022878801284,0.9253295610240976,0.9014763612643109,0.950508186469512,0.9132154742688129,1.0,0.9102848905445389,0.9071004096343778,0.9283455014103413,0.92730018134106
OVCAR4_OVARY ,0.9081323830163873,0.9156312414882906,0.894331876684756,0.8961004151045272,0.9126689672607178,0.9361124660044536,0.9061040242702116,0.9326189490887347,0.9102848905445389,1.0,0.891592555373644,0.8946935022143873,0.9085446106253291
SKMEL30_SKIN ,0.9363069832535305,0.915443642298198,0.9210320299760075,0.9062163251232839,0.8945587991477333,0.8896598095023137,0.8977277278626938,0.9153802116203161,0.9071004096343778,0.891592555373644,1.0,0.9091352021154833,0.8970481705533149
SW620_LARGE_INTESTINE ,0.9197457531391414,0.927746803352774,0.9148299741729945,0.9325650745246931,0.9582138683144503,0.9348823416013872,0.9051641091540276,0.9100016138024507,0.9283455014103413,0.8946935022143873,0.9091352021154833,1.0,0.9380855151625207
SW837_LARGE_INTESTINE ,0.8986006104034578,0.9245348181368266,0.9269680680741809,0.9348862201485543,0.923332524506634,0.9246090288903536,0.9133932351567268,0.9344086734965705,0.92730018134106,0.9085446106253291,0.8970481705533149,0.9380855151625207,1.0
