,A375_SKIN ,A427_LUNG ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,KPL1_BREAST ,NCIH2122_LUNG ,NCIH520_LUNG ,OV90_OVARY ,RKO_LARGE_INTESTINE ,SKOV3_OVARY ,UACC62_SKIN ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A375_SKIN ,1.0,0.7601848811801751,0.6655758248524548,0.7938308174239546,0.8436054976736382,0.7908020490134348,0.7767416074491066,0.8530899331383331,0.6976608032391326,0.8702623399952085,0.8158843425526591,0.8780754123992375,0.8687173994643256,0.8165478183113734,0.8241506349487033
A427_LUNG ,0.7601848811801751,1.0,0.8187829645493575,0.7883111082096417,0.825791953278792,0.838039826480112,0.8216431441381747,0.755141749346089,0.7838111723594987,0.7105697635315563,0.8099459287739016,0.8660798107730632,0.7644248379318398,0.7569260573005936,0.6657918171870245
EFM192A_BREAST ,0.6655758248524548,0.8187829645493575,1.0,0.798368587176123,0.761708638267143,0.8600611133156322,0.8448244547007984,0.7003143426491234,0.7091465262920633,0.6164503669756145,0.7177440379504747,0.7989730636793081,0.7528289648790664,0.6934663080951573,0.6417819152294022
ES2_OVARY ,0.7938308174239546,0.7883111082096417,0.798368587176123,1.0,0.8133713731907589,0.8695947385385906,0.8593473380082212,0.7854643177100055,0.7120940469176783,0.7284023900339095,0.7795644293723047,0.8539132058638547,0.8162316111117418,0.7748586501306675,0.7498706631979122
HCT116_LARGE_INTESTINE ,0.8436054976736382,0.825791953278792,0.761708638267143,0.8133713731907589,1.0,0.8012227881594485,0.8390614720484549,0.8460740126064319,0.7450240933887738,0.7687130160172749,0.8400676462520277,0.8438753808879083,0.8323979515911278,0.7874954075557343,0.8149736563845739
KPL1_BREAST ,0.7908020490134348,0.838039826480112,0.8600611133156322,0.8695947385385906,0.8012227881594485,1.0,0.8788663737881955,0.7855678572301548,0.7615891505913802,0.7415056632603804,0.7838720062978279,0.8710603465801706,0.8760340487873183,0.8109900908609626,0.7181476937027264
NCIH2122_LUNG ,0.7767416074491066,0.8216431441381747,0.8448244547007984,0.8593473380082212,0.8390614720484549,0.8788663737881955,1.0,0.7939550610955168,0.8762139915229201,0.7552158096019932,0.8241337956276547,0.8585637845914982,0.8396290826533124,0.7648521679524272,0.760718681966002
NCIH520_LUNG ,0.8530899331383331,0.755141749346089,0.7003143426491234,0.7854643177100055,0.8460740126064319,0.7855678572301548,0.7939550610955168,1.0,0.684264765936284,0.8005529409423114,0.797112867415786,0.7953618173415862,0.8391322193076253,0.7308065870505263,0.7636522849395294
OV90_OVARY ,0.6976608032391326,0.7838111723594987,0.7091465262920633,0.7120940469176783,0.7450240933887738,0.7615891505913802,0.8762139915229201,0.684264765936284,1.0,0.7326420629056237,0.7844572793986982,0.7673716153926131,0.718818392420245,0.7226811365071334,0.6966233482714445
RKO_LARGE_INTESTINE ,0.8702623399952085,0.7105697635315563,0.6164503669756145,0.7284023900339095,0.7687130160172749,0.7415056632603804,0.7552158096019932,0.8005529409423114,0.7326420629056237,1.0,0.7356389009883609,0.7575252008943285,0.852382129785905,0.7879177438547399,0.7978124039849829
SKOV3_OVARY ,0.8158843425526591,0.8099459287739016,0.7177440379504747,0.7795644293723047,0.8400676462520277,0.7838720062978279,0.8241337956276547,0.797112867415786,0.7844572793986982,0.7356389009883609,1.0,0.8185653511578239,0.770634227661943,0.7868971943236361,0.7447205157930216
UACC62_SKIN ,0.8780754123992375,0.8660798107730632,0.7989730636793081,0.8539132058638547,0.8438753808879083,0.8710603465801706,0.8585637845914982,0.7953618173415862,0.7673716153926131,0.7575252008943285,0.8185653511578239,1.0,0.8322023959664657,0.7906462759465699,0.7424706063369372
ZR751_BREAST ,0.8687173994643256,0.7644248379318398,0.7528289648790664,0.8162316111117418,0.8323979515911278,0.8760340487873183,0.8396290826533124,0.8391322193076253,0.718818392420245,0.852382129785905,0.770634227661943,0.8322023959664657,1.0,0.8103935760519423,0.7945340867661064
DLD1_LARGE_INTESTINE ,0.8165478183113734,0.7569260573005936,0.6934663080951573,0.7748586501306675,0.7874954075557343,0.8109900908609626,0.7648521679524272,0.7308065870505263,0.7226811365071334,0.7879177438547399,0.7868971943236361,0.7906462759465699,0.8103935760519423,1.0,0.8689697209988589
PA1_OVARY ,0.8241506349487033,0.6657918171870245,0.6417819152294022,0.7498706631979122,0.8149736563845739,0.7181476937027264,0.760718681966002,0.7636522849395294,0.6966233482714445,0.7978124039849829,0.7447205157930216,0.7424706063369372,0.7945340867661064,0.8689697209988589,1.0
