,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
0,-0.28985727,0.26604056,-0.021771427,-0.51757705,-0.28233066,-0.83468014,-0.47031784,-0.20148285,-0.03192374,0.16184096,-0.60365236,0.061115563,0.10525066
1,-0.6229159,0.08832125,0.721469,-0.26345384,0.13411243,-0.27021766,0.024511434,-0.3248637,0.05398321,-1.1086283,-0.105114326,-0.3370352,-0.45614854
2,0.30794033,0.8858909,0.31384173,-0.14255565,0.21365134,-0.22356309,-0.58242077,-0.3248637,0.3145677,-0.410576,-0.9325222,-0.30786666,0.27796835
3,-0.8303869,-0.6277576,-0.05913728,-0.16711457,-0.5074622,-1.1053916,-0.23472655,0.10093149,-0.43396834,-0.09578196,-0.4334333,-0.84128666,-0.14434908
4,0.7098211,0.5954715,1.1562716,0.116782784,1.3499217,1.0142225,-0.4434598,0.6648083,0.7183304,0.5029855,1.0836647,0.34368593,0.31000254
5,-0.61437595,0.7125062,1.0543647,-1.6421671,0.918139,-0.42987987,0.90060735,-7.307695,0.40906534,0.53239447,1.2764695,-0.094753906,2.5390482
6,-0.3355712,0.17934819,0.09847863,-0.63183767,0.6283901,-0.6111991,0.11822246,0.6516826,0.15077174,0.21477716,0.2011698,-0.14299141,-0.03276332
7,0.66460955,1.2846757,0.53124297,-0.7508394,0.06593623,-1.8887274,0.0569162,-0.67925555,0.78705597,0.25006798,-0.35631138,-0.545955,-0.46682662
8,-1.3849823,-5.7244015,0.7962007,-0.8266971,-0.110185705,-0.67282915,1.1516712,-0.5164978,-0.6790896,0.3265314,-0.68848646,-0.59335387,-0.42144483
9,0.13714105,-0.004873056,-3.6741123,0.61459875,-0.81808215,-0.1913081,-0.7634202,-0.37999135,-0.9081748,0.2677134,-0.7909484,-0.48871168,-0.29651147
10,-0.24916683,-0.60955226,-0.37824154,-1.9076691,-1.4964356,-2.1363997,-0.33486012,-0.2907371,-0.7014254,-1.1321554,0.0039580916,-1.4793487,-2.2367156
11,0.7198682,0.9379063,0.40895474,1.937367,2.1850808,0.2654457,0.9473168,0.4679239,0.09464584,1.6028824,0.41160244,1.1057143,0.21389994
12,-0.4704524,-0.12754273,0.056357145,-0.13643964,0.15683782,-0.13025399,-0.49775964,0.35241842,-0.0027153748,-0.5816188,-0.28155825,-0.43000996,0.39809656
13,-1.2744651,0.016800033,-0.15425031,-0.9215192,-1.2691815,-0.36323875,1.2158967,-0.5900013,-3.4166582,-0.39693022,-2.1940162,-1.3444443,-1.5212853
14,-0.63848877,0.1750136,0.3274293,-1.2676198,-0.19483784,-0.5415052,0.26710913,-4.420058,-0.18832023,-0.48445138,0.8082293,-0.8923316,-0.15235762
15,0.47873965,0.16200975,0.918489,0.95595825,0.50340027,0.4555198,-0.26143858,0.4679239,1.3654963,0.16772279,0.7476336,0.75569177,2.5977776
16,1.0463963,-0.3126309,0.44971752,2.0558946,0.46931225,0.7204715,1.3998156,-0.5243732,1.3196791,0.7147303,-0.2821642,0.3947309,0.2405951
17,-0.6183948,0.59980613,-0.03264151,-0.11221258,-0.4039116,-0.5328655,-0.035627104,0.0684272,-0.38872403,-0.8492408,-0.46428204,0.14606898,-0.49886078
