,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A2058_SKIN ,1.0,0.9331314887615751,0.8959330442892004,0.8728328896003611,0.9305942207588981,0.9130481917909973,0.8289920818838408,0.9106264613969016,0.8852387993228212,0.9395255879946056,0.9148348509696932,0.9007256035865668,0.9067627881346361,0.9343164083696884,0.9137998398049845,0.9225936507954924,0.8995424775415303,0.8649252086806233,0.9480374602626925,0.8321075126138491,0.8149656914177938,0.9003421329024063,0.8066410947533389,0.9107469992357285,0.9408040042735702,0.8916511801256807,0.8533592295519398,0.9257557082760624,0.9038317261728569,0.879188402714749,0.9442572894758523,0.9086243599038125,0.8591993314880916,0.8316395765965762,0.8093042058952018
A2780_OVARY ,0.9331314887615751,1.0,0.8322439404809212,0.9114163262248061,0.9312012087107153,0.9641737935592485,0.8634014428311895,0.8688295002442387,0.8850128632081267,0.8787912567249504,0.9066952601256073,0.9044354263594108,0.9291662435339716,0.9141468190716667,0.8779887335536712,0.9038473167626997,0.8895365428880789,0.8879141336761324,0.9229220482909412,0.8556369046307942,0.7832752956574239,0.9131079131393203,0.7792693669410341,0.8635752673338294,0.9198138759916022,0.8845351457261159,0.8301631859736107,0.9316599423343676,0.9274477743153506,0.9058868714404733,0.881718752165803,0.947997283966973,0.8470229028854328,0.7785845973561502,0.7800411946308775
A375_SKIN ,0.8959330442892004,0.8322439404809212,1.0,0.7601848811801751,0.8417197264438725,0.8237373097502432,0.6655758248524548,0.7938308174239546,0.8436054976736382,0.9292104106593906,0.8451839593419082,0.7908020490134348,0.8628992262601703,0.826960202525228,0.8906446172078298,0.8029320639946154,0.7767416074491066,0.7048517615354046,0.8352596571161209,0.8530899331383331,0.6976608032391326,0.7157959031401427,0.8702623399952085,0.8402386653393907,0.8657248023898666,0.7329541868490476,0.8158843425526591,0.8693110945586875,0.792255252726558,0.7230773698857172,0.8780754123992375,0.8400624739258143,0.8687173994643256,0.8165478183113734,0.8241506349487033
A427_LUNG ,0.8728328896003611,0.9114163262248061,0.7601848811801751,1.0,0.8937580859492833,0.8919278259640152,0.8187829645493575,0.7883111082096417,0.825791953278792,0.8180943152920007,0.8403243831427998,0.838039826480112,0.8247223722461515,0.8563670074544235,0.8113872471226373,0.8637909367925228,0.8216431441381747,0.9383113231736497,0.8687944620961997,0.755141749346089,0.7838111723594987,0.8866434010963655,0.7105697635315563,0.8289616981734723,0.8530568493736771,0.8188170020550488,0.8099459287739016,0.8444693815739284,0.8689430022911977,0.9141530011934305,0.8660798107730632,0.8730038426487698,0.7644248379318398,0.7569260573005936,0.6657918171870245
CAOV3_OVARY ,0.9305942207588981,0.9312012087107153,0.8417197264438725,0.8937580859492833,1.0,0.9148993401848418,0.8283650882709123,0.8540376354954343,0.8924189954040477,0.8889617983352522,0.9067211643973239,0.8886611473066861,0.9086174045242551,0.9421403778269618,0.8893662509391835,0.9432648566403056,0.9080706611934274,0.8718826508261046,0.9268047079383872,0.8384432155815159,0.8223345436082102,0.893442995980086,0.7610432298386329,0.8864058170207737,0.9254914776581091,0.8973161308997929,0.887472254511245,0.9199401836941703,0.9304852946978261,0.8637335333322662,0.8999540214644306,0.8899665010479583,0.8528466565750523,0.8136002731257805,0.7741793075266246
COLO320_LARGE_INTESTINE ,0.9130481917909973,0.9641737935592485,0.8237373097502432,0.8919278259640152,0.9148993401848418,1.0,0.854525096716649,0.8721637700444482,0.8805804504581141,0.8577816488111054,0.9064607892926504,0.9089707198415988,0.9486027078368773,0.8986927911037764,0.8644096793278007,0.8916889861784228,0.8957402700016388,0.8789593929114191,0.9205839115377185,0.8552137707061525,0.7741713875324965,0.8964411252303013,0.8008343556832439,0.8361867069763068,0.9106979863602124,0.8793699614730545,0.8012442144107261,0.9355563812983905,0.9368202644590132,0.8847867574504796,0.8803394475535483,0.9370843731568955,0.8823825774050276,0.7775146700113619,0.779708248855429
EFM192A_BREAST ,0.8289920818838408,0.8634014428311895,0.6655758248524548,0.8187829645493575,0.8283650882709123,0.854525096716649,1.0,0.798368587176123,0.761708638267143,0.7636975074194812,0.8379906206022575,0.8600611133156322,0.8290296665486391,0.8267557806658188,0.7402205038738466,0.8493085242990647,0.8448244547007984,0.8416662951642577,0.8401121458322731,0.7003143426491234,0.7091465262920633,0.8939809912288306,0.6164503669756145,0.7696951348928796,0.817293308042797,0.8554125660892644,0.7177440379504747,0.8407267470083624,0.8623275855212964,0.8814919903957706,0.7989730636793081,0.8331138387372651,0.7528289648790664,0.6934663080951573,0.6417819152294022
ES2_OVARY ,0.9106264613969016,0.8688295002442387,0.7938308174239546,0.7883111082096417,0.8540376354954343,0.8721637700444482,0.798368587176123,1.0,0.8133713731907589,0.8453398703304184,0.8801269919224968,0.8695947385385906,0.8978952277326974,0.8663699047684051,0.8486708110795421,0.8581593747350514,0.8593473380082212,0.8066587009681929,0.8842435271606776,0.7854643177100055,0.7120940469176783,0.8655520831320153,0.7284023900339095,0.8529593831711049,0.8836867765942624,0.8844284897848845,0.7795644293723047,0.8925014338531283,0.8575522738931399,0.8190099044011606,0.8539132058638547,0.8532216805314266,0.8162316111117418,0.7748586501306675,0.7498706631979122
HCT116_LARGE_INTESTINE ,0.8852387993228212,0.8850128632081267,0.8436054976736382,0.825791953278792,0.8924189954040477,0.8805804504581141,0.761708638267143,0.8133713731907589,1.0,0.8362116840463509,0.8361439388509071,0.8012227881594485,0.8798900969267924,0.8524354664162422,0.8650112396377398,0.8343318076560686,0.8390614720484549,0.8310603881551322,0.8705606148214621,0.8460740126064319,0.7450240933887738,0.7796508899959553,0.7687130160172749,0.7894243333510514,0.852088875340315,0.7854400973936325,0.8400676462520277,0.8979133622732237,0.8887800342544374,0.780899398773243,0.8438753808879083,0.8424078715382292,0.8323979515911278,0.7874954075557343,0.8149736563845739
HT144_SKIN ,0.9395255879946056,0.8787912567249504,0.9292104106593906,0.8180943152920007,0.8889617983352522,0.8577816488111054,0.7636975074194812,0.8453398703304184,0.8362116840463509,1.0,0.8728393162859398,0.8576720643801435,0.8699068582482303,0.8757367786517738,0.877759662734203,0.8809414538974593,0.8275102050896205,0.7834366573528576,0.878520886610615,0.8025604454465267,0.7379866060698718,0.8296501018778524,0.7909867766212376,0.9105569376119441,0.9266166909988464,0.828344396354944,0.8312841027134824,0.8830148666255845,0.8465951803645072,0.8131094300272134,0.9391338191557691,0.8576966716257458,0.8436825798421786,0.8130657618835422,0.7956950214997794
HT29_LARGE_INTESTINE ,0.9148348509696932,0.9066952601256073,0.8451839593419082,0.8403243831427998,0.9067211643973239,0.9064607892926504,0.8379906206022575,0.8801269919224968,0.8361439388509071,0.8728393162859398,1.0,0.9441219550141314,0.9464355301326137,0.9134865631309333,0.8921315624264936,0.9214963657515045,0.9070008117488257,0.841040547242102,0.9297039243444424,0.8290616972223335,0.8022676906373502,0.9104052062138451,0.8109161506992264,0.8988656448590866,0.9015402572926371,0.9167503583378971,0.8584395993716647,0.960112966953886,0.9278244227891314,0.8884808674997178,0.8772995400105438,0.91356080258786,0.8874356995825566,0.8736387284836635,0.7761774022967122
