,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
A2058_SKIN ,1.0,0.9331314887615751,0.9305942207588981,0.9130481917909973,0.9148348509696932,0.9007256035865668,0.9343164083696884,0.9225936507954924,0.9480374602626925,0.9003421329024063,0.9408040042735702,0.9257557082760624,0.9038317261728569
A2780_OVARY ,0.9331314887615751,1.0,0.9312012087107153,0.9641737935592485,0.9066952601256073,0.9044354263594108,0.9141468190716667,0.9038473167626997,0.9229220482909412,0.9131079131393203,0.9198138759916022,0.9316599423343676,0.9274477743153506
CAOV3_OVARY ,0.9305942207588981,0.9312012087107153,1.0,0.9148993401848418,0.9067211643973239,0.8886611473066861,0.9421403778269618,0.9432648566403056,0.9268047079383872,0.893442995980086,0.9254914776581091,0.9199401836941703,0.9304852946978261
COLO320_LARGE_INTESTINE ,0.9130481917909973,0.9641737935592485,0.9148993401848418,1.0,0.9064607892926504,0.9089707198415988,0.8986927911037764,0.8916889861784228,0.9205839115377185,0.8964411252303013,0.9106979863602124,0.9355563812983905,0.9368202644590132
HT29_LARGE_INTESTINE ,0.9148348509696932,0.9066952601256073,0.9067211643973239,0.9064607892926504,1.0,0.9441219550141314,0.9134865631309333,0.9214963657515045,0.9297039243444424,0.9104052062138451,0.9015402572926371,0.960112966953886,0.9278244227891314
KPL1_BREAST ,0.9007256035865668,0.9044354263594108,0.8886611473066861,0.9089707198415988,0.9441219550141314,1.0,0.8921082110301713,0.9343373410890674,0.906986357353702,0.9349154594872011,0.8950600314893516,0.9367187202285915,0.9273613178990818
MDAMB436_BREAST ,0.9343164083696884,0.9141468190716667,0.9421403778269618,0.8986927911037764,0.9134865631309333,0.8921082110301713,1.0,0.9290573279614941,0.9524181504589591,0.9049646463795792,0.9036822707733316,0.910388286178034,0.917278110035635
NCIH1650_LUNG ,0.9225936507954924,0.9038473167626997,0.9432648566403056,0.8916889861784228,0.9214963657515045,0.9343373410890674,0.9290573279614941,1.0,0.917820548227439,0.9296498836059047,0.919378381331946,0.9148519652885246,0.9372313700409199
NCIH460_LUNG ,0.9480374602626925,0.9229220482909412,0.9268047079383872,0.9205839115377185,0.9297039243444424,0.906986357353702,0.9524181504589591,0.917820548227439,1.0,0.9094411292707565,0.9128889076445837,0.9326267471455851,0.9306587935903309
OVCAR4_OVARY ,0.9003421329024063,0.9131079131393203,0.893442995980086,0.8964411252303013,0.9104052062138451,0.9349154594872011,0.9049646463795792,0.9296498836059047,0.9094411292707565,1.0,0.8887129901746712,0.8911654782630956,0.9067646074747633
SKMEL30_SKIN ,0.9408040042735702,0.9198138759916022,0.9254914776581091,0.9106979863602124,0.9015402572926371,0.8950600314893516,0.9036822707733316,0.919378381331946,0.9128889076445837,0.8887129901746712,1.0,0.9155962038375982,0.9025663899585925
SW620_LARGE_INTESTINE ,0.9257557082760624,0.9316599423343676,0.9199401836941703,0.9355563812983905,0.960112966953886,0.9367187202285915,0.910388286178034,0.9148519652885246,0.9326267471455851,0.8911654782630956,0.9155962038375982,1.0,0.940406679603098
SW837_LARGE_INTESTINE ,0.9038317261728569,0.9274477743153506,0.9304852946978261,0.9368202644590132,0.9278244227891314,0.9273613178990818,0.917278110035635,0.9372313700409199,0.9306587935903309,0.9067646074747633,0.9025663899585925,0.940406679603098,1.0
