,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A2058_SKIN ,1.0,0.9331314887615868,0.8959330442892072,0.8728328896003723,0.9305942207588989,0.913048191791008,0.828992081883843,0.9106264613968945,0.8852387993228238,0.9395255879946087,0.9148348509696906,0.9007256035865617,0.9067627881346304,0.9343164083696927,0.9137998398049872,0.9225936507954852,0.8995424775415327,0.8649252086806164,0.9480374602626931,0.8321075126138545,0.8149656914177814,0.9003421329023948,0.8066410947533545,0.9107469992357274,0.9408040042735771,0.8916511801256871,0.8533592295519568,0.9257557082760703,0.9038317261728607,0.879188402714752,0.9442572894758483,0.9086243599038152,0.8591993314880862,0.8316395765965753,0.809304205895196
A2780_OVARY ,0.9331314887615868,1.0,0.8322439404809185,0.9114163262248175,0.9312012087107074,0.9641737935592511,0.8634014428311875,0.8688295002442536,0.8850128632081102,0.8787912567249553,0.9066952601256055,0.9044354263594026,0.9291662435339679,0.9141468190716704,0.8779887335536738,0.9038473167626966,0.8895365428880703,0.8879141336761356,0.9229220482909353,0.8556369046307911,0.7832752956574222,0.913107913139318,0.7792693669410349,0.8635752673338172,0.9198138759916059,0.8845351457261224,0.8301631859736128,0.9316599423343692,0.9274477743153475,0.9058868714404682,0.8817187521658068,0.9479972839669648,0.8470229028854256,0.7785845973561424,0.7800411946308815
A375_SKIN ,0.8959330442892072,0.8322439404809185,1.0,0.7601848811801712,0.8417197264438625,0.8237373097502437,0.6655758248524518,0.7938308174239544,0.8436054976736364,0.9292104106593897,0.8451839593418957,0.7908020490134382,0.8628992262601591,0.8269602025252282,0.8906446172078217,0.8029320639946108,0.7767416074491099,0.7048517615354011,0.8352596571161179,0.853089933138337,0.6976608032391349,0.7157959031401495,0.8702623399952062,0.8402386653393973,0.8657248023898795,0.7329541868490552,0.815884342552669,0.8693110945586886,0.7922552527265527,0.7230773698856977,0.8780754123992282,0.840062473925804,0.8687173994643137,0.8165478183113722,0.8241506349486944
A427_LUNG ,0.8728328896003723,0.9114163262248175,0.7601848811801712,1.0,0.8937580859492872,0.8919278259640239,0.8187829645493712,0.7883111082096421,0.8257919532787804,0.8180943152919997,0.8403243831428007,0.8380398264801122,0.8247223722461448,0.8563670074544205,0.811387247122637,0.8637909367925173,0.821643144138176,0.9383113231736493,0.8687944620961926,0.7551417493460995,0.7838111723594892,0.8866434010963578,0.7105697635315686,0.8289616981734751,0.8530568493736755,0.8188170020550478,0.8099459287739029,0.8444693815739356,0.8689430022911915,0.9141530011934267,0.8660798107730494,0.873003842648774,0.7644248379318391,0.7569260573005964,0.6657918171870146
CAOV3_OVARY ,0.9305942207588989,0.9312012087107074,0.8417197264438625,0.8937580859492872,1.0,0.9148993401848378,0.8283650882709173,0.8540376354954421,0.8924189954040345,0.8889617983352603,0.9067211643973185,0.8886611473066747,0.9086174045242523,0.9421403778269679,0.8893662509391741,0.9432648566402894,0.9080706611934197,0.8718826508261028,0.9268047079383824,0.8384432155815155,0.8223345436082067,0.8934429959800865,0.7610432298386447,0.8864058170207767,0.9254914776581061,0.8973161308997908,0.8874722545112447,0.9199401836941763,0.9304852946978164,0.8637335333322503,0.89995402146443,0.8899665010479556,0.8528466565750503,0.8136002731257757,0.7741793075266086
COLO320_LARGE_INTESTINE ,0.913048191791008,0.9641737935592511,0.8237373097502437,0.8919278259640239,0.9148993401848378,1.0,0.8545250967166471,0.8721637700444335,0.8805804504581091,0.857781648811112,0.9064607892926592,0.9089707198415934,0.9486027078368775,0.8986927911037793,0.8644096793277868,0.8916889861784189,0.89574027000164,0.8789593929114167,0.9205839115377261,0.8552137707061624,0.7741713875324904,0.8964411252303007,0.8008343556832462,0.8361867069763071,0.9106979863602195,0.8793699614730495,0.8012442144107289,0.9355563812983978,0.9368202644589966,0.8847867574504782,0.8803394475535482,0.9370843731569035,0.8823825774050295,0.7775146700113778,0.779708248855431
EFM192A_BREAST ,0.828992081883843,0.8634014428311875,0.6655758248524518,0.8187829645493712,0.8283650882709173,0.8545250967166471,1.0,0.798368587176127,0.7617086382671394,0.7636975074194754,0.8379906206022522,0.8600611133156336,0.8290296665486481,0.8267557806658252,0.7402205038738415,0.8493085242990706,0.8448244547008017,0.8416662951642544,0.8401121458322657,0.700314342649129,0.7091465262920634,0.89398099122883,0.616450366975621,0.7696951348928792,0.8172933080428062,0.8554125660892714,0.7177440379504781,0.8407267470083676,0.8623275855212928,0.8814919903957676,0.7989730636793101,0.8331138387372619,0.752828964879053,0.6934663080951567,0.6417819152294104
ES2_OVARY ,0.9106264613968945,0.8688295002442536,0.7938308174239544,0.7883111082096421,0.8540376354954421,0.8721637700444335,0.798368587176127,1.0,0.8133713731907664,0.8453398703304258,0.8801269919224946,0.8695947385385865,0.8978952277326974,0.8663699047683954,0.8486708110795496,0.8581593747350545,0.8593473380082214,0.8066587009682069,0.8842435271606793,0.7854643177100096,0.7120940469176799,0.8655520831320064,0.7284023900339275,0.8529593831711103,0.8836867765942767,0.884428489784904,0.7795644293723087,0.8925014338531382,0.8575522738931315,0.8190099044011585,0.8539132058638548,0.8532216805314392,0.8162316111117471,0.7748586501306635,0.7498706631979041
HCT116_LARGE_INTESTINE ,0.8852387993228238,0.8850128632081102,0.8436054976736364,0.8257919532787804,0.8924189954040345,0.8805804504581091,0.7617086382671394,0.8133713731907664,1.0,0.8362116840463549,0.8361439388508966,0.8012227881594511,0.8798900969267986,0.8524354664162587,0.8650112396377414,0.8343318076560537,0.8390614720484504,0.8310603881551316,0.8705606148214604,0.8460740126064291,0.7450240933887602,0.7796508899959417,0.7687130160172788,0.7894243333510467,0.852088875340315,0.7854400973936334,0.8400676462520175,0.8979133622732307,0.8887800342544343,0.7808993987732419,0.8438753808879057,0.8424078715382232,0.8323979515911307,0.7874954075557161,0.8149736563845621
HT144_SKIN ,0.9395255879946087,0.8787912567249553,0.9292104106593897,0.8180943152919997,0.8889617983352603,0.857781648811112,0.7636975074194754,0.8453398703304258,0.8362116840463549,1.0,0.8728393162859497,0.8576720643801261,0.8699068582482329,0.8757367786517746,0.8777596627342087,0.8809414538974584,0.8275102050896194,0.7834366573528595,0.8785208866106119,0.802560445446529,0.7379866060698691,0.8296501018778464,0.7909867766212472,0.9105569376119433,0.9266166909988545,0.8283443963549433,0.8312841027135021,0.883014866625581,0.8465951803645211,0.8131094300272022,0.9391338191557693,0.8576966716257464,0.8436825798421805,0.8130657618835405,0.7956950214997754
HT29_LARGE_INTESTINE ,0.9148348509696906,0.9066952601256055,0.8451839593418957,0.8403243831428007,0.9067211643973185,0.9064607892926592,0.8379906206022522,0.8801269919224946,0.8361439388508966,0.8728393162859497,1.0,0.944121955014118,0.9464355301326223,0.9134865631309292,0.8921315624264916,0.9214963657514882,0.9070008117488376,0.8410405472421033,0.929703924344444,0.8290616972223346,0.802267690637344,0.9104052062138308,0.810916150699225,0.8988656448590989,0.901540257292642,0.91675035833791,0.8584395993716586,0.9601129669538871,0.92782442278912,0.8884808674996981,0.8772995400105418,0.9135608025878675,0.8874356995825534,0.8736387284836651,0.7761774022967068
KPL1_BREAST ,0.9007256035865617,0.9044354263594026,0.7908020490134382,0.8380398264801122,0.8886611473066747,0.9089707198415934,0.8600611133156336,0.8695947385385865,0.8012227881594511,0.8576720643801261,0.944121955014118,1.0,0.9158428982656244,0.892108211030172,0.8421087302860253,0.9343373410890613,0.8788663737881853,0.8515510909239488,0.9069863573537011,0.7855678572301537,0.7615891505913772,0.9349154594871929,0.7415056632603925,0.8585264492664215,0.8950600314893435,0.9074540623905579,0.7838720062978414,0.9367187202286016,0.9273613178990786,0.9201572914480723,0.8710603465801612,0.8930813064729796,0.8760340487873115,0.8109900908609541,0.7181476937027099
LOVO_LARGE_INTESTINE ,0.9067627881346304,0.9291662435339679,0.8628992262601591,0.8247223722461448,0.9086174045242523,0.9486027078368775,0.8290296665486481,0.8978952277326974,0.8798900969267986,0.8699068582482329,0.9464355301326223,0.9158428982656244,1.0,0.9008292176410847,0.8974263146668149,0.8907168859022557,0.9101769743191118,0.8207521928647584,0.918456962115328,0.8825653813257437,0.7579570041909042,0.87212057914249,0.834825786295367,0.8633468369229046,0.9142066391830886,0.894158545787323,0.8286424359976274,0.9633430182300641,0.9301458629173148,0.8465246106605561,0.8665279223197353,0.9271774524689304,0.9173970305696447,0.8278855605929301,0.812590080720272
MDAMB436_BREAST ,0.9343164083696927,0.9141468190716704,0.8269602025252282,0.8563670074544205,0.9421403778269679,0.8986927911037793,0.8267557806658252,0.8663699047683954,0.8524354664162587,0.8757367786517746,0.9134865631309292,0.892108211030172,0.9008292176410847,1.0,0.9084536051223355,0.9290573279614811,0.9397635399189306,0.8445964260274532,0.9524181504589591,0.8286109725889094,0.862233177672463,0.9049646463795828,0.7764572012935325,0.9034808136482374,0.903682270773334,0.9322533932861053,0.8720945106539906,0.9103882861780259,0.9172781100356372,0.862757141304372,0.8951411407755432,0.871164805998661,0.8367734552590922,0.7840197040937668,0.7706383657642614
MSTO211H_PLEURA ,0.9137998398049872,0.8779887335536738,0.8906446172078217,0.811387247122637,0.8893662509391741,0.8644096793277868,0.7402205038738415,0.8486708110795496,0.8650112396377414,0.8777596627342087,0.8921315624264916,0.8421087302860253,0.8974263146668149,0.9084536051223355,1.0,0.8647611708294715,0.8694168384018366,0.7713960051602357,0.9143655165701298,0.863431848357474,0.8241174677484084,0.8103036443836112,0.8437788296202832,0.8826066767621005,0.8819311064047223,0.8366372157214118,0.8621866145456681,0.8983258332715057,0.8647951479463661,0.7848820431587317,0.866134175690525,0.8624016559322012,0.8390450293397614,0.8347494249158929,0.8109804223882726
NCIH1650_LUNG ,0.9225936507954852,0.9038473167626966,0.8029320639946108,0.8637909367925173,0.9432648566402894,0.8916889861784189,0.8493085242990706,0.8581593747350545,0.8343318076560537,0.8809414538974584,0.9214963657514882,0.9343373410890613,0.8907168859022557,0.9290573279614811,0.8647611708294715,1.0,0.8930119848827422,0.8718062941539422,0.9178205482274524,0.7865731966717633,0.7866860907602551,0.9296498836058977,0.7023805734778149,0.882322465016373,0.9193783813319413,0.9138190576949015,0.8438836799304078,0.9148519652885287,0.9372313700409195,0.9009549436405503,0.911646134170226,0.8647206857291484,0.8387483380732703,0.8122202875750913,0.7357811300845499
NCIH2122_LUNG ,0.8995424775415327,0.8895365428880703,0.7767416074491099,0.821643144138176,0.9080706611934197,0.89574027000164,0.8448244547008017,0.8593473380082214,0.8390614720484504,0.8275102050896194,0.9070008117488376,0.8788663737881853,0.9101769743191118,0.9397635399189306,0.8694168384018366,0.8930119848827422,1.0,0.8268105092947591,0.9591620375192282,0.7939550610955239,0.8762139915229116,0.8878442223821595,0.7552158096020019,0.8653032919811802,0.8727028691403922,0.9327338955872588,0.8241337956276653,0.8982659266100598,0.917817095698081,0.8444547774276632,0.8585637845915006,0.8595481923913063,0.8396290826533124,0.7648521679524252,0.760718681965996
NCIH23_LUNG ,0.8649252086806164,0.8879141336761356,0.7048517615354011,0.9383113231736493,0.8718826508261028,0.8789593929114167,0.8416662951642544,0.8066587009682069,0.8310603881551316,0.7834366573528595,0.8410405472421033,0.8515510909239488,0.8207521928647584,0.8445964260274532,0.7713960051602357,0.8718062941539422,0.8268105092947591,1.0,0.8657255059651211,0.732051464523264,0.7311907576944815,0.9227828992670892,0.6487602981511537,0.8092044593902461,0.8391410432049837,0.8500206675908094,0.7676072863560697,0.8494265009545767,0.8766149587335057,0.9170141370235833,0.8813393005284433,0.8562306999704913,0.7421048601617107,0.7269354122085441,0.626213872069995
NCIH460_LUNG ,0.9480374602626931,0.9229220482909353,0.8352596571161179,0.8687944620961926,0.9268047079383824,0.9205839115377261,0.8401121458322657,0.8842435271606793,0.8705606148214604,0.8785208866106119,0.929703924344444,0.9069863573537011,0.918456962115328,0.9524181504589591,0.9143655165701298,0.9178205482274524,0.9591620375192282,0.8657255059651211,1.0,0.8262609436686763,0.8774984976530487,0.9094411292707575,0.7846884874348503,0.8968013942140565,0.9128889076445849,0.9374066842604831,0.8583279918198315,0.9326267471455928,0.9306587935903281,0.8736845944517548,0.9092374122417918,0.8924034081480173,0.8556748261794099,0.8184707696543241,0.7878876058290059
NCIH520_LUNG ,0.8321075126138545,0.8556369046307911,0.853089933138337,0.7551417493460995,0.8384432155815155,0.8552137707061624,0.700314342649129,0.7854643177100096,0.8460740126064291,0.802560445446529,0.8290616972223346,0.7855678572301537,0.8825653813257437,0.8286109725889094,0.863431848357474,0.7865731966717633,0.7939550610955239,0.732051464523264,0.8262609436686763,1.0,0.6842647659362802,0.7369022017471167,0.8005529409423328,0.7737345026030014,0.8278922448648794,0.7650149639797957,0.7971128674157996,0.8703131660362219,0.8259385990073429,0.7348417686307951,0.7953618173415844,0.8507714708412758,0.8391322193076289,0.7308065870505274,0.7636522849395246
OV90_OVARY ,0.8149656914177814,0.7832752956574222,0.6976608032391349,0.7838111723594892,0.8223345436082067,0.7741713875324904,0.7091465262920634,0.7120940469176799,0.7450240933887602,0.7379866060698691,0.802267690637344,0.7615891505913772,0.7579570041909042,0.862233177672463,0.8241174677484084,0.7866860907602551,0.8762139915229116,0.7311907576944815,0.8774984976530487,0.6842647659362802,1.0,0.7700756934071601,0.7326420629056283,0.806981006936827,0.7508885698348347,0.7877847148059302,0.7844572793987046,0.7708583537834975,0.8063207703222225,0.7476936156593577,0.7673716153926109,0.7516783409014085,0.7188183924202373,0.7226811365071165,0.6966233482714318
OVCAR4_OVARY ,0.9003421329023948,0.913107913139318,0.7157959031401495,0.8866434010963578,0.8934429959800865,0.8964411252303007,0.89398099122883,0.8655520831320064,0.7796508899959417,0.8296501018778464,0.9104052062138308,0.9349154594871929,0.87212057914249,0.9049646463795828,0.8103036443836112,0.9296498836058977,0.8878442223821595,0.9227828992670892,0.9094411292707575,0.7369022017471167,0.7700756934071601,1.0,0.6630267295715595,0.8655596554495273,0.8887129901746706,0.941377898551449,0.7876960524905742,0.8911654782631014,0.906764607474737,0.9517379587201071,0.882856196750613,0.8858620562454181,0.7778244247421691,0.7510497123760748,0.6604508935304574
RKO_LARGE_INTESTINE ,0.8066410947533545,0.7792693669410349,0.8702623399952062,0.7105697635315686,0.7610432298386447,0.8008343556832462,0.616450366975621,0.7284023900339275,0.7687130160172788,0.7909867766212472,0.810916150699225,0.7415056632603925,0.834825786295367,0.7764572012935325,0.8437788296202832,0.7023805734778149,0.7552158096020019,0.6487602981511537,0.7846884874348503,0.8005529409423328,0.7326420629056283,0.6630267295715595,1.0,0.7723874176728773,0.7527157295845947,0.6667479204492585,0.7356389009883775,0.8076410590329439,0.7422394049184021,0.6839089489670925,0.7575252008943373,0.8260295469514256,0.8523821297859108,0.7879177438547611,0.7978124039849841
RPMI7951_SKIN ,0.9107469992357274,0.8635752673338172,0.8402386653393973,0.8289616981734751,0.8864058170207767,0.8361867069763071,0.7696951348928792,0.8529593831711103,0.7894243333510467,0.9105569376119433,0.8988656448590989,0.8585264492664215,0.8633468369229046,0.9034808136482374,0.8826066767621005,0.882322465016373,0.8653032919811802,0.8092044593902461,0.8968013942140565,0.7737345026030014,0.806981006936827,0.8655596554495273,0.7723874176728773,1.0,0.89436431205131,0.8874107546943583,0.882801564639411,0.8769460965765256,0.8488915567246532,0.8262994165714672,0.8987040308857361,0.8423462330095622,0.8086412296455144,0.805975712741834,0.7513437229210842
SKMEL30_SKIN ,0.9408040042735771,0.9198138759916059,0.8657248023898795,0.8530568493736755,0.9254914776581061,0.9106979863602195,0.8172933080428062,0.8836867765942767,0.852088875340315,0.9266166909988545,0.901540257292642,0.8950600314893435,0.9142066391830886,0.903682270773334,0.8819311064047223,0.9193783813319413,0.8727028691403922,0.8391410432049837,0.9128889076445849,0.8278922448648794,0.7508885698348347,0.8887129901746706,0.7527157295845947,0.89436431205131,1.0,0.8953396861868361,0.85850296922355,0.9155962038376025,0.9025663899586064,0.8488829899304703,0.9207322635634715,0.8887451170777955,0.84293916418097,0.8080759938409673,0.7817235743348112
