,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SKMES1_LUNG ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
A2058_SKIN ,1,0.945510293,0.945143758,0.928449632,0.929651852,0.925441243,0.91505642,0.954418169,0.950261429,0.928119246,0.961101596,0.955004301,0.948512716,0.943436175,0.932624771,0.920287555
A2780_OVARY ,0.945510293,1,0.948296849,0.977773914,0.91897087,0.920267428,0.939410093,0.932290195,0.92664197,0.912348146,0.931903955,0.944752614,0.934986412,0.919529285,0.94299107,0.943176319
CAOV3_OVARY ,0.945143758,0.948296849,1,0.934959491,0.915983662,0.901118777,0.91922773,0.959024505,0.95970936,0.927600182,0.937916618,0.92110874,0.938325029,0.922705648,0.933835969,0.943179424
COLO320_LARGE_INTESTINE ,0.928449632,0.977773914,0.934959491,1,0.916787141,0.92198134,0.95666985,0.917321268,0.919076131,0.917884417,0.930365663,0.92875688,0.928901184,0.91416501,0.948566275,0.955090408
HT29_LARGE_INTESTINE ,0.929651852,0.91897087,0.915983662,0.916787141,1,0.963700745,0.951273778,0.932046056,0.946406425,0.927797356,0.944461973,0.956227566,0.916729282,0.960476104,0.972013865,0.939116384
KPL1_BREAST ,0.925441243,0.920267428,0.901118777,0.92198134,0.963700745,1,0.927838103,0.912566951,0.95505187,0.902808138,0.926209086,0.966628006,0.916195943,0.944410855,0.958062369,0.94122322
LOVO_LARGE_INTESTINE ,0.91505642,0.939410093,0.91922773,0.95666985,0.951273778,0.927838103,1,0.915557154,0.914601892,0.928002152,0.924645684,0.911637875,0.927069552,0.932033271,0.971583545,0.942722541
MDAMB436_BREAST ,0.954418169,0.932290195,0.959024505,0.917321268,0.932046056,0.912566951,0.915557154,1,0.951182739,0.961172036,0.966232198,0.939286653,0.920705926,0.960061125,0.930331134,0.931896577
NCIH1650_LUNG ,0.950261429,0.92664197,0.95970936,0.919076131,0.946406425,0.95505187,0.914601892,0.951182739,1,0.919306221,0.941447574,0.958055573,0.944780713,0.944882693,0.944881698,0.953980207
NCIH2122_LUNG ,0.928119246,0.912348146,0.927600182,0.917884417,0.927797356,0.902808138,0.928002152,0.961172036,0.919306221,1,0.972623422,0.92007856,0.897874569,0.957269723,0.925157841,0.938611167
NCIH460_LUNG ,0.961101596,0.931903955,0.937916618,0.930365663,0.944461973,0.926209086,0.924645684,0.966232198,0.941447574,0.972623422,1,0.948208802,0.925933533,0.969270778,0.944020645,0.942451626
OVCAR4_OVARY ,0.955004301,0.944752614,0.92110874,0.92875688,0.956227566,0.966628006,0.911637875,0.939286653,0.958055573,0.92007856,0.948208802,1,0.932664511,0.963308499,0.945297306,0.935384723
SKMEL30_SKIN ,0.948512716,0.934986412,0.938325029,0.928901184,0.916729282,0.916195943,0.927069552,0.920705926,0.944780713,0.897874569,0.925933533,0.932664511,1,0.935532689,0.928127906,0.917662021
SKMES1_LUNG ,0.943436175,0.919529285,0.922705648,0.91416501,0.960476104,0.944410855,0.932033271,0.960061125,0.944882693,0.957269723,0.969270778,0.963308499,0.935532689,1,0.950967108,0.938426481
SW620_LARGE_INTESTINE ,0.932624771,0.94299107,0.933835969,0.948566275,0.972013865,0.958062369,0.971583545,0.930331134,0.944881698,0.925157841,0.944020645,0.945297306,0.928127906,0.950967108,1,0.957955892
SW837_LARGE_INTESTINE ,0.920287555,0.943176319,0.943179424,0.955090408,0.939116384,0.94122322,0.942722541,0.931896577,0.953980207,0.938611167,0.942451626,0.935384723,0.917662021,0.938426481,0.957955892,1
